batch_size,target_output_tokens,count,request_count,avg_generated_tokens,std_generated_tokens,avg_power_w,std_power_w,peak_power_w,avg_energy_j,std_energy_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,std_dynamic_energy_j,avg_context_total_tokens,avg_approx_kv_pressure,avg_normalized_kv_blocks,avg_idle_baseline_w,enable_chunked_prefill,max_num_batched_tokens,max_num_seqs,queue_seed,sampling_seed,scheduler_signature,avg_ttft_ms,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,std_ttft_ms,avg_tbt_ms,mean_tbt_ms,p50_tbt_ms,p95_tbt_ms,p99_tbt_ms,std_tbt_ms,avg_e2e_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,std_e2e_ms
1,10,5,5,10.0,0.0,109.85952394766154,6.643254010678894,139.5272,65.83951689202786,3.9770568137051017,52.78919061432822,6.643254010678896,31.636792440549538,3.9788393402249,11.0,6.0,1.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.72151277028024,88.72151277028024,89.09420599229634,90.78358497936279,91.12086019013077,1.7365008608119885,66.58985413507455,66.58985413507455,66.59494900506817,66.65677546471771,66.65813446924504,0.07100173016309864,688.0301999859512,688.0301999859512,688.1438529817387,690.6939635751769,691.0439502960071,2.1791325369093517
1,20,5,5,20.0,0.0,143.70686390685384,1.9815960451183154,210.58559999999997,182.03222544229033,2.501225647071077,86.63653057352053,1.9815960451183117,109.74168427266281,2.5044678590145932,21.0,11.0,2.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.28657839912921,88.28657839912921,88.21273106150329,88.60197418835014,88.6637052288279,0.23153603303477582,66.66803518922902,66.66803518922902,66.67867673585485,66.69211295727445,66.69244238077417,0.036890118050325965,1354.9792469944805,1354.9792469944805,1354.9880989594385,1355.403876164928,1355.4105111863464,0.5095938546968203
1,40,5,5,40.0,0.0,188.67629764625153,1.5800775616324374,232.199,490.81166062921363,4.114820611083557,131.60596431291822,1.580077561632447,342.3521886481332,4.113411760148543,41.0,21.0,3.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.64042856730521,88.64042856730521,88.69509096257389,89.73839180544019,89.85906317830086,0.9686312103653916,66.70109663719838,66.70109663719838,66.69920553954748,66.71033811468918,66.71131632195261,0.007340455213083909,2689.9831974180415,2689.9831974180415,2690.2293720049784,2690.8703226363286,2690.9551941556856,0.9036598024461919
1,50,5,5,50.0,0.0,196.71092638254856,1.4189466612815076,232.2832,642.897983533597,4.693970170339951,139.64059304921525,1.4189466612815258,456.37868638904104,4.677644316912756,51.0,26.0,4.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.70969780255109,88.70969780255109,88.57876795809716,89.7763938177377,89.88763556815684,0.9527437672954705,66.69869606468674,66.69869606468674,66.69493097982996,66.70755088871003,66.70905078105554,0.006437476185480186,3356.9458049722016,3356.9458049722016,3357.256606104784,3357.841777196154,3357.9420066531748,0.9718537195191694
1,75,5,5,75.0,0.0,208.87536212840604,0.814883519021254,232.3318,1030.9698827349664,3.925581542413163,151.80502879507273,0.8148835190212838,749.2812644975187,3.951755760652522,76.0,38.5,5.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.8193882536143,88.8193882536143,88.5093390243128,90.70496845524758,91.06809213291854,1.4082929793145207,66.70021099680278,66.70021099680278,66.69933955355019,66.7097318533657,66.71107368908721,0.007883013636215934,5024.635002017021,5024.635002017021,5024.260465987027,5026.852766191587,5027.116594025865,1.7432219273112262
1,100,5,5,100.0,0.0,214.22430840057564,0.9724722436086777,232.26279999999997,1414.6512936241872,6.485082722616973,157.1539750672423,0.9724722436086914,1037.7817941028839,6.468045891288735,101.0,51.0,7.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.2675716187805,88.2675716187805,88.38096505496651,89.27144659683108,89.44906851276755,0.8051800470236886,66.70300995747587,66.70300995747587,66.70366848508517,66.70795896730263,66.70820576477456,0.005519470999333116,6691.865557408892,6691.865557408892,6691.558548016474,6693.298391369171,6693.549240627326,1.059307529899313
1,150,5,5,150.0,0.0,221.2602022220286,0.2727660588227043,232.743,2199.845456519223,2.354457171145261,164.18986888869526,0.27276605882268595,1632.4323663418297,2.441105158541547,151.0,76.0,10.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,89.07857637386769,89.07857637386769,89.33702495414764,89.8884177673608,89.90878111682832,0.9144667559050715,66.72716725636398,66.72716725636398,66.72131279858466,66.74400362976822,66.74403725763871,0.01575339554691475,10031.426497572102,10031.426497572102,10030.812631943263,10034.327678196132,10034.686876423657,2.34242251364231
1,200,5,5,200.0,0.0,224.16956897690858,0.3795323531716108,232.91800000000003,2976.1928842052343,5.096743752175257,167.09923564357524,0.3795323531716282,2218.4971975418925,5.082003665968915,201.0,101.0,13.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.54409498162568,88.54409498162568,88.34187500178814,89.76608363445848,90.02900717314333,0.9111482893620162,66.71620494681386,66.71620494681386,66.71638859332955,66.71780476395752,66.71801899913136,0.0013619513480314796,13365.068879397586,13365.068879397586,13365.010485984383,13366.032138443552,13366.23600692954,0.7926161081924121
1,300,5,5,300.0,0.0,225.68083714523627,1.3755390453710876,232.42200000000003,4495.644734279035,32.58011164574735,168.61050381190293,1.3755390453710985,3358.788080401522,31.103589073892817,301.0,151.0,19.0,57.07033333333332,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,88.95615919027478,88.95615919027478,89.18563497718424,90.0992500130087,90.22279401309787,1.0491627432310529,66.62298982073693,66.62298982073693,66.71622069902955,66.7215600443138,66.72175985648855,0.13230091583238696,20009.230115590617,20009.230115590617,20037.33562398702,20039.23590364866,20039.6083119791,39.60787069710611
2,10,5,10,10.0,0.0,108.85900012640528,7.378234525242996,144.1844,69.89210086038281,7.750083057274919,51.44755568196084,7.378234525242993,33.10577926414711,6.026794678988763,22.0,12.0,1.0,57.41144444444444,True,2048,64,20260329,20260329,cp1_mbt2048_mns64,110.63432060182095,110.63432060182095,90.73031699517742,157.94825406046584,159.05025078216568,32.210826598228245,66.72606108865389,66.72606108865389,66.71268672087334,66.96356486580852,67.0279098679829,0.15076276327673646,711.1688703997061,711.1688703997061,692.867380566895,757.7377808338497,758.767257706495,31.42342939641157
