timestamp,power_w,memory_gb,temperature_c
1773192362.804745,65.76,14.056640625,53
1773192363.068627,86.64,14.056640625,54
1773192363.3319001,99.17,14.056640625,54
1773192363.5957139,105.23,14.056640625,54
1773192363.8592942,151.73,14.056640625,54
1773192364.1109867,150.38,14.056640625,55
1773192364.3745801,150.07,14.056640625,55
1773192364.6368895,149.46,14.056640625,55
1773192364.8989167,149.37,14.056640625,54
1773192365.1623466,150.08,14.056640625,55
1773192365.4251723,150.13,14.056640625,55
1773192365.6877851,149.57,14.056640625,55
1773192365.951271,149.67,14.056640625,55
1773192366.213966,149.84,14.056640625,55
1773192366.476633,150.13,14.056640625,55
1773192366.7407675,149.44,14.056640625,55
1773192367.0034604,149.71,14.056640625,55
1773192367.2659037,150.02,14.056640625,55
1773192367.5293636,150.0,14.056640625,55
1773192367.7811708,149.81,14.056640625,55
1773192368.0430536,149.8,14.056640625,55
1773192368.3059492,149.97,14.056640625,55
1773192368.5686636,150.02,14.056640625,55
1773192368.8274736,149.58,14.056640625,55
1773192369.089132,149.79,14.056640625,55
1773192369.3536134,150.09,14.056640625,55
1773192369.6174426,149.81,14.056640625,55
1773192369.8779376,149.58,14.056640625,55
1773192370.1419427,149.82,14.056640625,55
1773192370.4044712,149.81,14.056640625,55
1773192370.6681826,149.53,14.056640625,56
1773192370.926334,149.76,14.056640625,55
1773192371.1882553,149.87,14.056640625,55
1773192371.4398134,149.51,14.056640625,55
1773192371.7022667,150.24,14.056640625,56
1773192371.9644027,149.64,14.056640625,55
1773192372.230025,149.92,14.056640625,55
1773192372.4886396,149.73,14.056640625,56
1773192372.7418404,149.92,14.056640625,56
1773192373.0013437,149.64,14.056640625,56
1773192373.2629833,149.9,14.056640625,56
1773192373.5238175,150.01,14.056640625,56
1773192373.7879932,149.79,14.056640625,56
1773192374.0523689,149.69,14.056640625,56
1773192374.3151512,149.85,14.056640625,56
1773192374.5779223,149.86,14.056640625,56
1773192374.8449159,149.87,14.056640625,56
1773192375.1001215,149.72,14.056640625,56
1773192375.341394,149.83,14.056640625,56
1773192375.6034377,149.92,14.056640625,56
1773192375.866335,149.8,14.056640625,56
1773192376.1222596,149.84,14.056640625,56
1773192376.385329,149.83,14.056640625,56
1773192376.6339352,149.95,14.056640625,56
1773192376.892723,149.8,14.056640625,56
1773192377.156595,149.72,14.056640625,56
1773192377.4218154,149.91,14.056640625,56
1773192377.6862922,149.91,14.056640625,56
1773192377.950257,149.71,14.056640625,56
1773192378.212804,149.23,14.056640625,56
1773192378.4693701,150.11,14.056640625,56
1773192378.733848,149.96,14.056640625,56
1773192378.9967422,149.72,14.056640625,56
1773192379.2640789,149.96,14.056640625,56
1773192379.5260296,149.79,14.056640625,56
1773192379.7886448,149.84,14.056640625,56
1773192380.0507395,149.58,14.056640625,56
1773192380.3133109,150.1,14.056640625,56
1773192380.5762079,149.98,14.056640625,56
1773192380.8374317,149.75,14.056640625,56
1773192381.1028585,149.67,14.056640625,56
1773192381.3634553,150.03,14.056640625,56
1773192381.6246612,149.97,14.056640625,56
1773192381.885363,149.81,14.056640625,56
1773192382.1358047,149.73,14.056640625,56
1773192382.3976226,150.03,14.056640625,56
1773192382.6599014,149.95,14.056640625,56
1773192382.9229984,149.9,14.056640625,56
1773192383.1772177,149.77,14.056640625,56
1773192383.440979,150.0,14.056640625,56
1773192383.704355,149.98,14.056640625,56
1773192383.9666317,149.73,14.056640625,56
1773192384.2297785,149.88,14.056640625,57
1773192384.4885137,149.98,14.056640625,57
1773192384.749659,149.85,14.056640625,57
1773192385.0117955,149.7,14.056640625,56
1773192385.2730455,149.94,14.056640625,57
1773192385.5359838,149.92,14.056640625,57
1773192385.7986794,149.87,14.056640625,57
1773192386.0550447,149.46,14.056640625,57
1773192386.3200479,149.93,14.056640625,57
1773192386.5829737,149.91,14.056640625,57
1773192386.8459725,149.54,14.056640625,57
1773192387.106569,150.03,14.056640625,57
1773192387.369854,149.86,14.056640625,57
1773192387.6341116,149.96,14.056640625,57
1773192387.8975909,149.78,14.056640625,57
1773192388.1602821,149.93,14.056640625,57
1773192388.411789,149.92,14.056640625,57
1773192388.6756227,149.94,14.056640625,57
1773192388.9404597,149.78,14.056640625,57
1773192389.201856,149.83,14.056640625,57
1773192389.464084,149.9,14.056640625,57
1773192389.7254188,149.73,14.056640625,57
1773192389.9889317,149.83,14.056640625,57
1773192390.2516243,149.83,14.056640625,57
1773192390.5142806,149.87,14.056640625,57
1773192390.7761447,149.72,14.056640625,57
1773192391.0368237,149.8,14.056640625,57
1773192391.2986126,149.92,14.056640625,57
1773192391.5598445,149.84,14.056640625,57
1773192391.8211844,149.78,14.056640625,57
1773192392.084827,149.89,14.056640625,57
1773192392.3470464,149.94,14.056640625,57
1773192392.6106231,149.79,14.056640625,57
1773192392.8747396,149.81,14.056640625,57
1773192393.1362374,149.91,14.056640625,57
1773192393.3942883,149.94,14.056640625,57
1773192393.6572647,149.45,14.056640625,57
1773192393.9199624,150.01,14.056640625,57
1773192394.1821437,149.96,14.056640625,57
1773192394.4459853,149.85,14.056640625,57
1773192394.7114346,149.76,14.056640625,57
1773192394.9756565,150.06,14.056640625,57
1773192395.2379446,149.88,14.056640625,57
1773192395.5003693,149.92,14.056640625,57
1773192395.763765,149.91,14.056640625,57
1773192396.0267282,150.01,14.056640625,57
1773192396.2870648,149.76,14.056640625,57
1773192396.5492241,149.76,14.056640625,57
1773192396.8120148,149.96,14.056640625,57
1773192397.07266,149.99,14.056640625,57
1773192397.334287,149.83,14.056640625,57
1773192397.5908997,149.7,14.056640625,57
1773192397.8430502,149.92,14.056640625,57
1773192398.107458,149.89,14.056640625,57
1773192398.3701699,149.85,14.056640625,57
1773192398.6331742,149.86,14.056640625,57
1773192398.8968155,149.91,14.056640625,57
1773192399.1598327,149.88,14.056640625,57
1773192399.423444,149.77,14.056640625,57
1773192399.686055,149.82,14.056640625,57
1773192399.9514594,149.92,14.056640625,57
1773192400.2145176,149.83,14.056640625,57
1773192400.477039,149.79,14.056640625,57
1773192400.7287354,149.9,14.056640625,57
1773192400.9913697,149.9,14.056640625,58
1773192401.2530243,149.83,14.056640625,58
1773192401.5166962,149.12,14.056640625,57
1773192401.7807438,150.15,14.056640625,58
1773192402.043221,149.89,14.056640625,58
1773192402.3053493,149.76,14.056640625,58
1773192402.566693,149.9,14.056640625,58
1773192402.8298745,149.8,14.056640625,58
1773192403.078466,149.87,14.056640625,58
1773192403.3393629,149.75,14.056640625,58
1773192403.6009266,149.95,14.056640625,58
1773192403.8618865,149.88,14.056640625,58
1773192404.1252854,149.9,14.056640625,58
1773192404.3868773,149.62,14.056640625,58
1773192404.6497047,150.03,14.056640625,58
1773192404.9120846,149.86,14.056640625,58
1773192405.1749206,149.93,14.056640625,58
1773192405.4362333,149.8,14.056640625,58
1773192405.6991582,149.94,14.056640625,58
1773192405.9572093,149.84,14.056640625,58
1773192406.2180114,149.69,14.056640625,58
1773192406.4809036,149.79,14.056640625,58
1773192406.7474039,149.86,14.056640625,58
1773192407.0090733,149.85,14.056640625,58
1773192407.2653136,149.71,14.056640625,58
1773192407.5286562,149.94,14.056640625,58
1773192407.7902844,149.92,14.056640625,58
1773192408.0502653,149.82,14.056640625,58
1773192408.3127766,149.91,14.056640625,58
1773192408.5750587,149.87,14.056640625,58
1773192408.8380735,149.96,14.056640625,58
1773192409.1009107,149.86,14.056640625,58
1773192409.3648448,149.26,14.056640625,58
1773192409.6239018,149.89,14.056640625,58
1773192409.882908,149.8,14.056640625,58
1773192410.1461043,149.64,14.056640625,58
1773192410.4109917,150.15,14.056640625,58
1773192410.6744077,149.85,14.056640625,58
1773192410.9375856,149.91,14.056640625,58
1773192411.1999626,149.67,14.056640625,58
1773192411.4638236,150.03,14.056640625,58
1773192411.7152653,149.79,14.056640625,58
1773192411.97922,149.94,14.056640625,58
1773192412.2422123,149.74,14.056640625,58
1773192412.4981313,149.93,14.056640625,58
1773192412.76104,149.88,14.056640625,58
1773192413.024752,149.79,14.056640625,58
1773192413.2864604,149.81,14.056640625,58
1773192413.550085,149.91,14.056640625,58
1773192413.8124645,149.89,14.056640625,58
1773192414.0667326,149.88,14.056640625,58
1773192414.3301487,149.87,14.056640625,58
1773192414.5929108,149.85,14.056640625,58
1773192414.8546526,149.84,14.056640625,58
1773192415.1179118,149.7,14.056640625,58
1773192415.3814666,149.85,14.056640625,58
1773192415.6443381,149.87,14.056640625,58
1773192415.9081523,149.82,14.056640625,58
1773192416.1707108,149.75,14.056640625,58
1773192416.4324012,149.93,14.056640625,58
1773192416.6958463,149.88,14.056640625,58
1773192416.9584265,149.83,14.056640625,58
1773192417.221706,149.6,14.056640625,58
1773192417.482601,150.12,14.056640625,58
1773192417.7388048,149.87,14.056640625,58
1773192417.9968731,149.77,14.056640625,58
1773192418.2609239,150.15,14.056640625,58
1773192418.52565,149.77,14.056640625,58
1773192418.7924106,149.88,14.056640625,58
1773192419.044771,149.66,14.056640625,58
1773192419.3062265,150.02,14.056640625,58
1773192419.5686958,149.88,14.056640625,58
1773192419.8321517,149.88,14.056640625,58
1773192420.0958405,149.69,14.056640625,58
1773192420.3578212,149.94,14.056640625,58
1773192420.6190693,149.87,14.056640625,58
1773192420.8805733,149.79,14.056640625,58
1773192421.1430912,149.83,14.056640625,58
1773192421.3989334,149.84,14.056640625,58
1773192421.662011,149.89,14.056640625,58
1773192421.9259658,149.75,14.056640625,58
1773192422.188046,149.84,14.056640625,58
1773192422.4520543,149.93,14.056640625,58
1773192422.7041607,149.77,14.056640625,58
1773192422.9664085,149.78,14.056640625,58
1773192423.2279642,149.95,14.056640625,58
1773192423.4885118,149.91,14.056640625,58
1773192423.7511685,149.87,14.056640625,58
1773192424.014708,149.79,14.056640625,58
1773192424.2781086,149.85,14.056640625,58
1773192424.5332167,149.85,14.056640625,58
1773192424.79678,149.76,14.056640625,58
1773192425.049426,149.52,14.056640625,59
1773192425.3127098,150.04,14.056640625,58
1773192425.5749488,149.9,14.056640625,58
1773192425.8388824,149.49,14.056640625,58
1773192426.1023319,150.07,14.056640625,58
1773192426.3533456,149.83,14.056640625,58
1773192426.6169145,149.83,14.056640625,58
1773192426.8808513,149.43,14.056640625,58
1773192427.1421483,150.08,14.056640625,58
1773192427.4031138,149.85,14.056640625,58
1773192427.6608214,149.75,14.056640625,58
1773192427.9256306,149.83,14.056640625,58
1773192428.1881282,149.88,14.056640625,58
1773192428.4494684,149.89,14.056640625,58
1773192428.7133965,149.73,14.056640625,58
1773192428.9770951,149.86,14.056640625,58
1773192429.2396371,149.93,14.056640625,58
1773192429.5011625,149.77,14.056640625,58
1773192429.7639782,149.69,14.056640625,58
1773192430.026859,149.94,14.056640625,58
1773192430.28898,149.98,14.056640625,58
1773192430.5499718,149.81,14.056640625,58
1773192430.8140056,149.83,14.056640625,58
1773192431.0757296,149.89,14.056640625,59
1773192431.3372154,149.86,14.056640625,58
1773192431.5950584,149.71,14.056640625,58
1773192431.856952,149.8,14.056640625,58
1773192432.1191227,149.8,14.056640625,59
1773192432.381269,149.86,14.056640625,58
1773192432.6429482,149.77,14.056640625,58
1773192432.9055188,149.93,14.056640625,59
1773192433.1679478,150.0,14.056640625,59
1773192433.4311857,149.82,14.056640625,59
1773192433.696081,149.71,14.056640625,58
1773192433.9516377,150.26,14.056640625,59
1773192434.2134702,149.81,14.056640625,59
1773192434.4760823,149.84,14.056640625,59
1773192434.7381258,149.68,14.056640625,58
1773192435.0013628,150.01,14.056640625,59
1773192435.2627542,149.85,14.056640625,59
1773192435.5251303,149.83,14.056640625,59
1773192435.7882645,149.78,14.056640625,59
1773192436.041207,150.05,14.056640625,59
1773192436.2958493,149.83,14.056640625,59
1773192436.5590062,149.82,14.056640625,59
1773192436.8204288,149.89,14.056640625,59
1773192437.0824676,149.84,14.056640625,59
1773192437.3404582,149.88,14.056640625,59
1773192437.601249,149.76,14.056640625,59
1773192437.8567781,149.88,14.056640625,59
1773192438.113784,149.96,14.056640625,59
1773192438.3735662,149.84,14.056640625,59
1773192438.6367176,149.82,14.056640625,59
1773192438.9003346,149.9,14.056640625,59
1773192439.1638603,149.81,14.056640625,59
1773192439.424998,149.82,14.056640625,59
1773192439.689682,149.74,14.056640625,59
1773192439.9535577,149.91,14.056640625,59
1773192440.2157686,149.88,14.056640625,59
1773192440.4782016,149.79,14.056640625,59
1773192440.7456498,149.69,14.056640625,59
1773192441.0108137,149.97,14.056640625,59
1773192441.2764602,149.91,14.056640625,59
1773192441.5404375,149.44,14.056640625,59
1773192441.8018208,150.11,14.056640625,59
1773192442.0659575,149.78,14.056640625,59
1773192442.3289328,149.81,14.056640625,59
1773192442.5916748,149.86,14.056640625,59
1773192442.8562915,150.07,14.056640625,59
1773192443.1192353,149.88,14.056640625,59
1773192443.3699422,149.79,14.056640625,59
1773192443.626337,149.9,14.056640625,59
1773192443.886094,150.01,14.056640625,59
1773192444.1490123,149.86,14.056640625,59
1773192444.4129508,149.66,14.056640625,59
1773192444.6753345,149.86,14.056640625,59
1773192444.9396925,149.81,14.056640625,59
1773192445.1970506,149.75,14.056640625,59
1773192445.4600356,149.76,14.056640625,59
1773192445.7228937,149.88,14.056640625,59
1773192445.9867864,149.95,14.056640625,59
1773192446.2493327,149.77,14.056640625,59
1773192446.5086722,149.79,14.056640625,59
1773192446.77367,149.93,14.056640625,59
1773192447.0173948,149.85,14.056640625,59
1773192447.279015,149.78,14.056640625,59
1773192447.5432894,149.85,14.056640625,59
1773192447.806207,149.94,14.056640625,59
1773192448.073865,149.85,14.056640625,59
