timestamp,power_w,memory_gb,temperature_c
1773191796.258076,58.25,14.056640625,53
1773191796.5198717,78.83,14.056640625,54
1773191796.7838461,88.23,14.056640625,54
1773191797.0478592,98.53,14.056640625,54
1773191797.3089209,151.39,14.056640625,54
1773191797.571288,150.41,14.056640625,55
1773191797.8401425,150.01,14.056640625,55
1773191798.1038187,149.46,14.056640625,55
1773191798.3668637,149.34,14.056640625,54
1773191798.62909,150.06,14.056640625,55
1773191798.8929706,150.12,14.056640625,55
1773191799.1552198,149.67,14.056640625,55
1773191799.4168475,149.75,14.056640625,55
1773191799.6794565,150.03,14.056640625,55
1773191799.9431853,150.11,14.056640625,55
1773191800.2141974,149.29,14.056640625,55
1773191800.4779031,149.74,14.056640625,55
1773191800.7414408,150.08,14.056640625,55
1773191801.003468,150.02,14.056640625,55
1773191801.26761,149.41,14.056640625,55
1773191801.5231164,149.83,14.056640625,55
1773191801.7849476,150.04,14.056640625,55
1773191802.0483272,150.04,14.056640625,55
1773191802.3108919,149.65,14.056640625,55
1773191802.5731692,149.85,14.056640625,55
1773191802.837236,150.05,14.056640625,55
1773191803.1014383,149.66,14.056640625,55
1773191803.3650482,149.76,14.056640625,55
1773191803.629065,149.95,14.056640625,55
1773191803.8934665,149.08,14.056640625,55
1773191804.1567936,149.72,14.056640625,55
1773191804.4180694,149.87,14.056640625,55
1773191804.6813657,150.05,14.056640625,55
1773191804.9451892,149.55,14.056640625,55
1773191805.1929111,149.85,14.056640625,55
1773191805.4575872,149.67,14.056640625,55
1773191805.7208924,149.88,14.056640625,55
1773191805.9852,149.77,14.056640625,55
1773191806.2484605,149.97,14.056640625,56
1773191806.5120254,149.84,14.056640625,56
1773191806.7756321,149.77,14.056640625,56
1773191807.0388825,149.92,14.056640625,56
1773191807.296866,149.98,14.056640625,56
1773191807.5519092,149.82,14.056640625,56
1773191807.8148758,149.82,14.056640625,56
1773191808.0707192,149.91,14.056640625,56
1773191808.3341296,149.83,14.056640625,56
1773191808.5934656,149.77,14.056640625,56
1773191808.8646257,149.87,14.056640625,56
1773191809.075291,149.91,14.056640625,56
1773191809.3303406,149.81,14.056640625,56
1773191809.5825968,149.82,14.056640625,56
1773191809.8210182,149.88,14.056640625,56
1773191810.062658,149.89,14.056640625,56
1773191810.3281934,149.88,14.056640625,56
1773191810.59199,149.74,14.056640625,56
1773191810.8531733,149.88,14.056640625,56
1773191811.1206486,149.97,14.056640625,56
1773191811.3858922,149.86,14.056640625,56
1773191811.6505854,149.33,14.056640625,56
1773191811.9144585,150.06,14.056640625,56
1773191812.17697,150.0,14.056640625,56
1773191812.4394753,149.84,14.056640625,56
1773191812.7007098,150.0,14.056640625,56
1773191812.9636486,149.87,14.056640625,56
1773191813.227615,149.87,14.056640625,56
1773191813.490322,149.54,14.056640625,56
1773191813.7637563,150.02,14.056640625,56
1773191814.0272255,149.87,14.056640625,56
1773191814.2618675,149.86,14.056640625,56
1773191814.5008988,149.75,14.056640625,56
1773191814.732572,149.94,14.056640625,56
1773191814.9609203,149.95,14.056640625,56
1773191815.196112,149.84,14.056640625,56
1773191815.4566987,149.71,14.056640625,56
1773191815.7199304,149.93,14.056640625,56
1773191815.9686613,149.94,14.056640625,56
1773191816.2319527,149.83,14.056640625,56
1773191816.488907,149.72,14.056640625,56
1773191816.749519,149.89,14.056640625,56
1773191817.0085423,149.97,14.056640625,56
1773191817.2625875,149.81,14.056640625,56
1773191817.5093017,149.76,14.056640625,56
1773191817.7669506,149.91,14.056640625,56
1773191818.0276465,149.99,14.056640625,57
1773191818.2883224,149.75,14.056640625,57
1773191818.5506616,149.74,14.056640625,57
1773191818.8129828,149.88,14.056640625,57
1773191819.0760255,150.02,14.056640625,57
1773191819.3379657,149.76,14.056640625,57
1773191819.6013324,149.98,14.056640625,57
1773191819.853134,149.95,14.056640625,57
1773191820.1169562,149.87,14.056640625,57
1773191820.3799655,149.61,14.056640625,57
1773191820.6429532,150.04,14.056640625,57
1773191820.9058814,149.9,14.056640625,57
1773191821.1699603,149.89,14.056640625,57
1773191821.43325,149.82,14.056640625,57
1773191821.6919749,149.88,14.056640625,57
1773191821.9538894,149.87,14.056640625,57
1773191822.225157,149.72,14.056640625,57
1773191822.486013,149.9,14.056640625,57
