timestamp,power_w,memory_gb,temperature_c
1773196711.2586243,70.33,14.056640625,53
1773196711.5286517,83.5,14.056640625,54
1773196711.792185,96.76,14.056640625,54
1773196712.0559886,105.55,14.056640625,54
1773196712.3179603,152.5,14.056640625,54
1773196712.5812929,150.23,14.056640625,55
1773196712.8441634,149.98,14.056640625,55
1773196713.1073189,149.69,14.056640625,55
1773196713.3697767,149.54,14.056640625,54
1773196713.6323993,149.97,14.056640625,55
1773196713.8870187,150.05,14.056640625,55
1773196714.1483288,149.34,14.056640625,55
1773196714.4101346,149.57,14.056640625,55
1773196714.6728578,150.06,14.056640625,55
1773196714.9370582,150.14,14.056640625,55
1773196715.1966014,149.44,14.056640625,55
1773196715.4592216,149.77,14.056640625,55
1773196715.7228475,150.05,14.056640625,55
1773196715.9846315,150.13,14.056640625,55
1773196716.2471979,149.55,14.056640625,55
1773196716.5067706,149.72,14.056640625,55
1773196716.7688015,150.09,14.056640625,55
1773196717.031157,149.82,14.056640625,55
1773196717.293411,149.58,14.056640625,55
1773196717.5565746,149.95,14.056640625,55
1773196717.8198211,150.04,14.056640625,55
1773196718.0816271,149.87,14.056640625,55
1773196718.3429155,149.68,14.056640625,55
1773196718.6050684,149.92,14.056640625,55
1773196718.8633425,149.69,14.056640625,55
1773196719.1256802,149.5,14.056640625,56
1773196719.3879888,149.73,14.056640625,55
1773196719.6503568,149.96,14.056640625,55
1773196719.9133222,149.65,14.056640625,55
1773196720.1773012,149.97,14.056640625,55
1773196720.4402149,149.76,14.056640625,55
1773196720.7046065,149.88,14.056640625,55
1773196720.9679573,149.94,14.056640625,55
1773196721.2321537,149.79,14.056640625,56
1773196721.4934423,149.76,14.056640625,56
1773196721.7556987,149.79,14.056640625,56
1773196722.0181003,149.91,14.056640625,56
1773196722.2819083,149.81,14.056640625,56
1773196722.5442436,149.88,14.056640625,56
1773196722.8068805,149.83,14.056640625,56
1773196723.0689702,149.93,14.056640625,56
1773196723.3295717,149.74,14.056640625,56
1773196723.5919266,149.85,14.056640625,56
1773196723.8540976,149.91,14.056640625,56
1773196724.117146,149.9,14.056640625,56
1773196724.379417,149.76,14.056640625,56
1773196724.640905,149.81,14.056640625,56
1773196724.9084141,149.94,14.056640625,56
1773196725.1709292,149.96,14.056640625,56
1773196725.4322553,149.81,14.056640625,56
1773196725.6952825,149.82,14.056640625,56
1773196725.9576993,149.84,14.056640625,56
1773196726.2083097,149.94,14.056640625,56
1773196726.4709241,149.84,14.056640625,56
1773196726.7348711,149.43,14.056640625,56
1773196726.9972434,150.03,14.056640625,56
1773196727.2604265,149.8,14.056640625,56
1773196727.5216646,149.8,14.056640625,56
1773196727.7843604,149.91,14.056640625,56
1773196728.0472972,149.84,14.056640625,56
