experiment_id,target_input_tokens,avg_actual_input_tokens,num_samples,avg_duration_ms,std_duration_ms,avg_ttft_ms,std_ttft_ms,avg_power_w,std_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,avg_active_power_w,std_active_power_w,active_median_power_w,active_p95_power_w,avg_active_sample_fraction,avg_energy_j,avg_energy_per_request_j,std_energy_j,avg_dynamic_energy_per_request_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,std_dynamic_energy_j,avg_idle_baseline_w,status_ok_count,status_error_count
prefill_token_power_modeling_1777904889,0,0.0,5,13.200998306274414,0.5340184203733045,0.0,0.0,67.7176,17.888686502926923,67.7176,67.7176,90.898,49.046,67.7176,17.888686502926923,67.7176,67.7176,1.0,0.8888984327316284,0.8888984327316284,0.2133452573235295,0.10941755930293688,8.492581818181819,12.021307359630681,0.10941755930293688,0.1541279642792459,65.35854545454545,0,5
prefill_token_power_modeling_1777904889,1,1.0,5,3009.8814487457275,6.128971186543504,69.96678973353187,0.14196404351371014,168.9548689871261,3.8047354812494985,209.26,211.5644,214.205,58.182,198.32108086865915,6.4898455491157865,211.1678,211.5644,0.7576158940397351,508.518521577096,11.826012129699908,10.592388657821477,7.25109414177803,103.59632353258066,3.8047354812494985,311.7970480964553,10.91803801626785,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,2,2.0,5,3020.3068256378174,14.905398674221967,70.2088245125704,0.3461497201412802,167.30419555055218,4.0945463945005285,210.3124,211.21439999999998,214.164,56.647,198.99559849758498,5.134570394121601,210.5236,211.2578,0.7398346535082024,505.30367785422806,11.75124832219135,12.281393061065149,7.160484114048951,101.94565009600674,4.0945463945005285,307.9008169041049,12.25218751882525,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,4,4.0,5,3052.1004676818848,5.875345115337552,70.94892235689385,0.13491796177713866,170.87895878785204,3.5264995037690015,209.4992,210.01340000000002,212.633,58.348,197.58027555485126,6.383137963116086,209.6798,210.0136,0.7808227118598635,521.5372223986865,12.128772613922942,10.66969739943611,7.489683145345595,105.52041333330658,3.5264995037690015,322.0563752498606,10.699906659944435,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,8,8.0,5,3061.2711906433105,7.217262338487369,71.16283483283465,0.1656100269370857,162.92747442463613,3.560518943372498,204.5396,206.4794,209.764,56.708,191.8315934434744,8.187310332667089,206.2716,206.4794,0.75359477124183,498.76137764310835,11.599101805653683,10.736428827729654,6.9460731483897,97.5689289700907,3.560518943372498,298.6811453807571,10.783487876531957,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,16,16.0,5,3039.025354385376,31.669210072960595,71.30971063147088,0.19296567869156916,167.54751889558432,2.791889180324223,207.2622,208.42399999999998,212.658,57.284,194.30189059311445,5.302915174784178,208.1102,208.42399999999998,0.7797410917005775,509.12169477734557,11.953308475870585,4.921343796634507,7.29060003354206,102.18897344103885,2.791889180324223,310.4954180152328,5.996776373182776,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,24,24.0,5,3024.9821186065674,8.601558055800906,70.31425653501998,0.1997350602966446,168.9140227865885,3.366529289420291,212.28,212.8568,215.934,48.781,197.41900543187987,6.657360027519226,212.4264,212.8568,0.7693795747647264,510.9401092439175,11.88232812195157,8.82658532013909,7.284457626646115,103.55547733204305,3.366529289420291,313.23167794578296,9.346356227750604,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,32,32.0,5,3035.8221530914307,14.53607302491368,70.56836527447368,0.3372890675683147,171.92814480434777,4.781093912503825,213.046,214.32503,215.363,57.169,202.08279034435154,1.4173452800436581,213.9596,214.3258,0.7602294506319274,521.9246221265793,12.137781909920447,13.8542460973047,7.5234349288799285,106.56959934980233,4.781093912503825,323.50770194183696,14.049422514309539,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,40,40.0,5,3043.93253326416,11.918202128390853,70.7556358603544,0.27571285150129565,170.26740964606117,1.232306699860278,214.4944,214.90055,216.0,57.461,198.3909578999307,6.8037536035881425,214.617,214.948,0.7746362340789585,518.2896312338829,12.053247237997278,5.23165121593433,7.426572753441107,104.9088641915157,1.232306699860278,319.3426283979676,4.612760332945754,65.35854545454545,5,0
prefill_token_power_modeling_1777904889,48,48.0,5,3033.388662338257,5.2176147701049835,70.51156177077183,0.12039395024549754,168.9337409986793,4.679069253685566,214.1606,215.63240000000002,218.4,53.403,199.271182393238,7.111583279723242,215.239,215.654,0.7585999312005504,512.4315641350508,11.917013119419787,13.761693187985076,7.3063649620072795,103.57519554413385,4.679069253685566,314.17369336631305,13.925327055239203,65.35854545454545,5,0
