timestamp,relative_time,power_w,memory_gb,temperature_c,graphics_clock_mhz,memory_clock_mhz
1777904889.338003,-1.997560739517212,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.35821,-1.977353572845459,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.3784254,-1.9571382999420166,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.3986032,-1.9369604587554932,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.4188042,-1.9167594909667969,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.4390051,-1.8965585231781006,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.459284,-1.876279592514038,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.479481,-1.8560826778411865,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.4996798,-1.8358838558197021,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.5198789,-1.8156847953796387,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.540129,-1.7954347133636475,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.5605848,-1.7749788761138916,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.5807781,-1.7547855377197266,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.6009767,-1.7345869541168213,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.621261,-1.7143027782440186,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.641457,-1.6941065788269043,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.6616518,-1.6739118099212646,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.6818445,-1.653719186782837,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.7020416,-1.6335220336914062,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.722317,-1.6132466793060303,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.7425098,-1.5930538177490234,77.27,14.47503662109375,42,2775.0,11251.0
1777904889.762707,-1.5728566646575928,77.27,14.47503662109375,42,2775.0,11251.0
