query_label,energy_saving_pct,tbt_increase_pct,ttft_increase_pct,e2e_increase_pct
8,11.673723652814267,5.05292702489207,4.8855277079366735,5.047729397702498
16,12.76762210112166,5.359584522457742,6.150821111827416,5.387420148140287
32,14.209437178174056,6.620412740488443,4.666374710715966,6.4999060189776605
64,11.30176264737439,4.697681162936436,4.223509095045816,4.660759590206228
96,14.022401544842651,5.24986308827767,5.29239990964306,5.263449986781454
128,15.675679151907381,5.078425462108542,6.012632329332594,5.467588758424516
GEOMEAN,13.288718846699384,5.341384461872926,5.194180707873756,5.3862324144762965
