experiment_id,target_input_tokens,actual_input_tokens,repeat_id,prompt_source,start_time,end_time,duration_ms,ttft_ms,measurement_mode,block_request_count,block_success_count,block_error_count,block_warmup_requests,block_min_requests_used,block_max_requests_used,avg_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,active_avg_power_w,active_median_power_w,active_p95_power_w,active_sample_count,active_sample_fraction,active_power_threshold_w,energy_j,energy_per_request_j,idle_baseline_w,dynamic_power_w,dynamic_energy_j,dynamic_energy_per_request_j,power_sample_count,status,error,first_ttft_ms,min_ttft_ms,max_ttft_ms,prompt_generation_ms,add_unique_prefix
prefill_token_power_modeling_1777904889,1,1,4,generated,1777905024.2902825,1777905027.3083804,3018.0978775024414,70.15980676163075,block,43,43,0,2,30,100,165.85575695052935,202.294,210.521,210.521,68.865,187.1330081300813,210.316,210.521,123,0.8145695364238411,95.35854545454544,500.56890802395344,11.641137395905892,65.35854545454545,100.4972114959839,303.310420710943,7.053730714207976,149,ok,,73.5173225402832,69.7782039642334,73.5173225402832,11.525154113769531,False
prefill_token_power_modeling_1777904889,8,8,5,generated,1777905029.6872635,1777905032.7574277,3070.164203643799,71.36603843334109,block,43,43,0,2,30,100,161.40470809442917,202.717,207.002,207.002,58.262,185.6529090909091,206.902,207.002,121,0.7857142857142857,95.35854545454544,495.5389570910929,11.524161792816114,65.35854545454545,96.04616263988372,294.8774904343214,6.857616056612125,152,ok,,75.10089874267578,70.84155082702637,75.10089874267578,19.293546676635746,False
prefill_token_power_modeling_1777904889,512,512,1,generated,1777905035.4324076,1777905039.092321,3659.913063049317,121.9497521718343,block,30,30,0,2,30,100,229.19654200738748,267.332,268.512,268.512,67.004,249.37588888888888,267.902,268.512,162,0.8852459016393442,95.35854545454544,838.8394180985688,27.96131393661896,65.35854545454545,163.837996552842,599.6328238075754,19.98776079358585,181,ok,,120.67294120788574,120.67294120788574,122.8487491607666,208.9693546295166,False
prefill_token_power_modeling_1777904889,10000,10000,1,generated,1777905047.654349,1777905052.6311738,4976.824760437012,1658.6990356445312,block,3,3,0,2,3,5,290.382016741914,288.076,300.304,300.304,283.899,290.4107935222672,288.076,300.304,247,1.0,95.35854545454544,1445.1804109067923,481.7268036355975,65.35854545454545,225.02347128736855,1119.9023835824628,373.3007945274876,245,ok,,1650.8769989013672,1650.8769989013672,1663.332223892212,3039.0849113464355,False
prefill_token_power_modeling_1777904889,1,1,3,generated,1777905055.002,1777905058.006312,3004.31227684021,69.8366830515307,block,43,43,0,2,30,100,169.44109754468673,213.36,214.205,214.205,59.771,204.10310185185185,213.552,214.205,108,0.7152317880794702,95.35854545454544,509.0539695547819,11.838464408250742,65.35854545454545,104.08255209014128,312.6964890492721,7.272011373238886,149,ok,,69.89121437072754,69.66233253479004,70.16658782958984,12.381792068481444,False
prefill_token_power_modeling_1777904889,512,512,2,generated,1777905060.6558378,1777905064.3065257,3650.687694549561,121.64528369903564,block,30,30,0,2,30,100,225.0195592883638,270.41,270.769,270.769,59.489,233.6041511627907,270.41,270.769,172,0.945054945054945,95.35854545454544,821.476136126995,27.382537870899835,65.35854545454545,159.66101383381834,582.8724985024278,19.42908328341426,180,ok,,121.43206596374512,121.14691734313963,122.61438369750977,186.4688396453857,False
prefill_token_power_modeling_1777904889,2304,2304,1,generated,1777905069.788323,1777905073.5650074,3776.684522628784,377.5895118713379,block,10,10,0,2,10,30,260.9570885146568,278.751,281.241,281.241,98.723,259.87596296296294,278.751,281.241,189,1.0,95.35854545454544,985.552597263574,98.5552597263574,65.35854545454545,195.59854306011133,738.7139902238624,73.87139902238624,187,ok,,374.7391700744629,374.7391700744629,378.6590099334717,2516.411781311035,False
prefill_token_power_modeling_1777904889,8000,8000,1,generated,1777905080.3841062,1777905084.1699054,3785.799264907837,1261.7528438568115,block,3,3,0,2,3,5,289.83494971585685,288.583,295.615,295.615,286.652,289.85739682539685,288.583,295.615,189,1.0,95.35854545454544,1097.2569395788908,365.7523131929636,65.35854545454545,224.47640426131144,849.8226062416271,283.27420208054235,187,ok,,1257.7974796295166,1257.7974796295166,1263.9575004577637,2095.5796241760254,False
prefill_token_power_modeling_1777904889,32,32,4,generated,1777905086.5733416,1777905089.6170487,3043.707132339477,70.75212722600892,block,43,43,0,2,30,100,171.99336672591676,215.02,215.363,215.363,60.193,203.66377192982452,215.241,215.363,114,0.7450980392156863,95.35854545454544,523.4974370187522,12.174359000436096,65.35854545454545,106.63482127137132,324.5651660594183,7.54802711766089,151,ok,,71.20275497436523,70.50871849060059,72.29804992675781,46.225786209106445,False
prefill_token_power_modeling_1777904889,96,96,5,generated,1777905092.0543566,1777905095.089863,3035.5064868927,74.00388833953113,block,41,41,0,2,30,100,180.6452949372113,229.202,229.559,229.559,59.118,216.43234513274336,229.348,229.559,113,0.738562091503268,95.35854545454544,548.34996460855,13.37438938069634,65.35854545454545,115.28674948266584,349.9536759074058,8.535455509936726,151,ok,,77.08525657653809,73.38809967041016,77.08525657653809,72.63612747192383,False
