target_input_tokens,avg_actual_input_tokens,num_samples,avg_duration_ms,std_duration_ms,avg_ttft_ms,std_ttft_ms,first_ttft_ms,avg_power_w,std_power_w,median_power_w,p95_power_w,peak_power_w,min_power_w,avg_active_power_w,std_active_power_w,active_median_power_w,active_p95_power_w,avg_active_sample_fraction,avg_energy_j,avg_energy_per_request_j,std_energy_j,avg_dynamic_power_w,std_dynamic_power_w,avg_dynamic_energy_j,avg_dynamic_energy_per_request_j,std_dynamic_energy_j,avg_idle_baseline_w
96,96.0,5,3032.9087257385254,15.751282961558681,73.93952346429592,0.3828463653975606,77.07509994506836,181.79641992604826,4.319251955824887,226.96779999999998,228.702,229.559,57.428,210.79383195432956,5.623587469688431,228.0752,228.702,0.791486068111455,551.3409508298158,13.447340264141848,11.694325976594826,116.4378744715028,4.319251955824874,353.1144480191469,8.61254751266212,12.139123232736722,65.35854545454545
128,128.0,5,3033.422565460205,18.022561975966333,73.95267253968774,0.43592440684369504,75.85091590881348,181.69921049317318,5.960436149120559,231.7256,233.1734,234.592,48.632,212.66901551438704,10.306240628084808,232.7656,233.1734,0.7810192114489574,551.1734340888023,13.443254489970789,18.5200485241481,116.3406650386277,5.960436149120542,352.91334746132765,8.607642621007992,18.3081261957023,65.35854545454545
160,160.0,5,3018.822479248047,5.2932463411643,83.82121589448717,0.14849604151968926,85.54487228393555,195.56059294080046,5.695739106792109,243.37939999999998,245.0594,246.331,57.709,223.49474536141852,7.8774277917059665,244.5576,245.0594,0.8175845242244684,590.3584068815708,16.39884463559919,17.041751673910632,130.20204748625503,5.695739106792098,393.0525606524337,10.918126684789828,17.086253784018506,65.35854545454545
192,192.0,5,3018.5786247253423,10.490662811130766,83.81450706058078,0.2891564384108048,87.58316040039062,194.29188727053912,3.6928573069939548,248.7886,250.96059999999997,251.82,55.683,228.33414773418062,11.247049425924695,250.13180000000003,250.96059999999997,0.7781369815266643,586.506421451378,16.291845040316055,12.619984437048714,128.93334181599366,3.692857306993951,389.21651319914736,10.811569811087425,12.105792579170542,65.35854545454545
224,224.0,5,3015.288782119751,6.119116337850396,86.11491067068917,0.1762803537860726,90.28768539428711,200.86967580009363,4.782928642122929,246.8786,251.85639999999998,253.451,56.821,230.18019179024745,4.894025547679663,251.2344,251.85639999999998,0.8138027187173231,605.6810379395961,17.30517251255989,14.511498645688421,135.51113034554817,4.782928642122938,408.6061490148414,11.67446140042404,14.46666733349492,65.35854545454545
256,256.0,5,3027.564525604248,6.622063967679147,86.46527699061804,0.18801017694835837,89.7247314453125,201.14320795910498,1.4033956779934624,250.352,254.6932,255.17,57.979,233.55309771578322,6.86867705146163,253.7534,254.7388,0.7955733705123736,608.9764411627054,17.399326890363017,4.851310314227171,135.78466250455955,1.4033956779934589,411.099227499431,11.745692214269457,4.6233356932658864,65.35854545454545
288,288.0,5,3028.2875537872314,39.86936368663465,100.23651851120816,0.3952534570663604,101.2359619140625,207.1533641285784,1.954703079622919,259.479,260.0498,261.513,56.353,234.01654972669218,7.8474250077984635,259.65119999999996,260.0498,0.8347168404965547,627.3285813297509,20.773135614300777,10.78082811403837,141.79481867403294,1.9547030796229121,429.4041115961139,14.219185921305373,8.705637921445508,65.35854545454545
320,320.0,5,3044.9888229370117,8.029514360196094,101.46239121754964,0.26657107258847834,102.5393009185791,207.01359695747314,4.019069495276388,255.56260000000003,257.58000000000004,259.36,57.824,233.08547642391918,10.235171908159579,256.7864,257.58000000000004,0.8363322521991252,630.3604051654328,21.012013505514425,12.745255209265293,141.6550515029277,4.019069495276385,431.34436477292127,14.37814549243071,12.56236584795054,65.35854545454545
352,352.0,5,3134.003782272339,4.44873534901915,104.42666212717693,0.14461972307289708,104.10752296447754,210.0671438352641,3.7311352967189673,262.6076,263.51419999999996,267.853,56.623,231.75652181017085,12.293161630246459,262.664,263.51419999999996,0.8651052164798839,658.3495026940584,21.944983423135284,11.61936167617799,144.70859838071866,3.7311352967189695,453.5155740356944,15.117185801189814,11.637653104049198,65.35854545454545
384,384.0,5,3143.777322769165,9.022355723697503,104.74792003631592,0.2973616216376351,105.5203914642334,207.31193708836713,7.331505473652347,263.3954,265.1146,267.706,45.913,234.13046371568262,12.268147454507572,263.9624,265.1146,0.8374506167862614,651.7365307445765,21.724551024819217,22.917703638808337,141.9533916338217,7.33150547365236,446.26381769539887,14.875460589846625,22.944030906866853,65.35854545454545
416,416.0,5,3538.585615158081,6.954236292910956,117.9131015141805,0.2318771868262811,117.8987979888916,220.58740061055914,3.573596373571103,261.9606,263.35540000000003,264.663,53.948,247.34835312701858,3.78890877736049,262.57939999999996,263.35540000000003,0.8418079096045197,780.5802241873266,26.01934080624422,13.688715852848661,155.2288551560137,3.5735963735710987,549.3034154142165,18.31011384714055,13.370539918132527,65.35854545454545
448,448.0,5,3562.416648864746,17.684091172187042,118.70494365692139,0.5873454378851691,118.67647171020508,222.31327181869148,6.014224042197909,266.3782,267.46,272.504,56.676,246.72631294674835,7.5429103406551095,266.5462,267.46,0.8564639539558602,791.9331131975566,26.397770439918553,19.95512736704205,156.954726364146,6.014224042197909,559.0987427247007,18.636624757490022,20.33730315147213,65.35854545454545
480,480.0,5,3639.3950939178467,10.075125863647513,121.27314885457356,0.3342860203325007,120.33538818359375,226.88931250546753,3.536084919269521,265.2072,265.81800000000004,266.429,49.157,244.12041454197083,5.380167708197888,265.407,265.81800000000004,0.9023179006785563,825.7512713010074,27.52504237670024,13.945316242897727,161.53076705092207,3.5360849192695074,587.8857016281279,19.59619005427093,13.604783159040863,65.35854545454545
512,512.0,5,3657.1919441223145,11.396349536673602,121.85591697692871,0.3779009081143873,121.31986618041992,228.14719945280262,5.389546954659161,268.204,269.18118,271.92,55.515,247.31824653052158,7.712860878687376,268.366,269.18760000000003,0.888336805745929,834.3862877571676,27.81287625857225,20.2709830010081,162.78865399825713,5.38954695465917,595.3575418412518,19.84525139470839,20.067957798429376,65.35854545454545
640,640.0,3,3136.7889245351157,2.331163481129867,142.54028146917167,0.10655904002443202,141.2944793701172,214.3113197398749,1.82249073340986,260.95233333333334,262.3066666666667,264.017,56.336,241.7333320916407,7.310590582054621,261.06300000000005,262.3066666666667,0.8301486199575372,672.2521128773292,30.556914221696783,6.201062496772766,148.95277428532947,1.8224907334098306,467.2361513717861,21.238006880535732,6.053062341645497,65.35854545454545
768,768.0,3,3103.472948074341,81.12396385269356,157.76718457539877,0.5234449499518774,157.3974291483561,230.6864719233757,1.903251589429242,276.53933333333333,277.4083166666667,277.865,58.566,258.0852787703814,2.290744899508728,276.53933333333333,277.4796666666667,0.8419258389918127,715.8703203209243,36.40600751942366,16.15535837905194,165.32792646883024,1.9032515894292625,513.0318425772552,26.091524118354197,11.220819479574464,65.35854545454545
896,896.0,3,3122.603098551432,13.675282630416227,173.43139206921614,0.757938640711392,173.6757755279541,232.19247148677152,6.260677575404752,273.378,275.23,276.097,58.571,248.76475181522713,7.772261328701165,273.378,275.23,0.9040639120256956,724.9882211961745,40.27712339978748,16.435282443676606,166.83392603222606,6.26067757540473,520.8994246429962,28.938856924610906,17.321530650126217,65.35854545454545
1024,1026.0,3,3117.1313921610513,2.216009239360448,207.75522126091855,0.14285132822261612,206.8624496459961,226.42304678231162,5.374206831898474,267.426,269.7136666666667,270.064,55.392,243.5623416252073,15.120050107411021,267.426,269.7136666666667,0.8956121726822364,705.7954360786275,47.0530290719085,17.073205469419765,161.06450132776612,5.374206831898497,502.06426229627886,33.47095081975193,16.978900759300664,65.35854545454545
1280,1276.0,3,3190.181334813436,12.729522538692873,227.81502632867725,0.9042893907480459,226.25247637430826,241.52424903479854,6.636061560575019,276.623,279.3516666666667,281.599,62.059,258.0574796531457,1.829908879458699,277.241,279.3516666666667,0.9018987558107739,770.5574759197631,55.03981970855452,24.04932811381011,176.1657035802531,6.636061560575019,562.0518641401168,40.14656172429405,23.275764367326182,65.35854545454545
1536,1536.0,3,3249.194065729777,9.20536561421969,270.69962686962555,0.7587784058978538,269.4814205169678,232.7627377830836,2.4195875890339793,267.409,268.44366666666673,268.773,88.353,245.72529833201997,13.136659679123365,267.409,268.44366666666673,0.9158903279557676,756.3052445249577,63.02543704374648,9.909969070597736,167.40419232853813,2.4195875890339593,543.9426464893187,45.3285538741099,9.33260893316357,65.35854545454545
1792,1785.0,3,3243.5444990793862,5.684825154164014,294.7930711688418,0.5172241059917239,293.1644121805827,253.19692351809329,8.111030918403403,287.4073333333333,290.50166666666667,294.631,86.907,257.73444641851455,15.894337671342253,287.4073333333333,290.50166666666667,0.9711934156378601,821.2755871161747,74.66141701056135,27.250176905883556,187.83837806354782,8.111030918403431,609.2822365392539,55.38929423084125,26.9977359186236,65.35854545454545
2048,2061.0,3,3505.87526957194,2.7178236888940073,350.5178451538086,0.26814437198285995,347.83657391866046,252.14602197468278,0.7042746852882766,273.23266666666666,274.7966666666667,275.388,72.909,257.8600168281098,2.424605429178148,273.23266666666666,274.7966666666667,0.961948051948052,883.9934994428951,88.39934994428951,3.0356136361531934,186.78747652013735,0.7042746852882483,654.8545912786108,65.48545912786108,2.884010455085435,65.35854545454545
2304,2304.0,3,3771.9828287760415,6.052503301489176,377.12111473083496,0.6092808181734066,374.24413363138837,257.645016800353,3.3290304811798475,278.20266666666663,280.85566666666665,283.937,86.328,257.71526459793125,3.6105715915606296,278.20266666666663,280.85566666666665,0.9946808510638299,971.8353210429747,97.18353210429747,12.97707717506181,192.28647134580754,3.329030481179855,725.3040098746509,72.53040098746509,12.856733428228143,65.35854545454545
2560,2560.0,3,4026.1550744374595,2.0935465560561775,402.5309006373088,0.21937913518185656,399.1897900899251,274.9423236980229,2.638044231260955,290.11066666666665,294.28400000000005,295.052,120.361,274.0694582122391,2.4866422998632594,290.11066666666665,294.28400000000005,1.0,1106.9637494699953,110.69637494699954,11.144774282840485,209.5837782434775,2.638044231260965,843.8201100303257,84.38201100303257,11.020311833211808,65.35854545454545
2816,2816.0,3,4417.999903361003,18.59205618763213,441.72611236572266,1.8516985173084821,440.6718413035075,279.2229743435768,2.1475278885018945,287.97433333333333,290.23499999999996,292.753,180.437,278.7574346268111,1.9785273730824167,287.97433333333333,290.23499999999996,1.0,1233.5956742399535,123.35956742399536,8.658390689711677,213.86442888903136,2.1475278885018634,944.8416267379558,94.4841626737956,8.581970617990828,65.35854545454545
3000,3000.0,3,4825.37039120992,11.243237074376793,482.45166937510174,1.121636838360911,481.1726411183675,273.8946440300417,6.058824080431577,281.95166666666665,283.532,284.126,144.303,273.44243512563395,6.151976474241179,281.95166666666665,283.532,1.0,1321.6686141248945,132.16686141248945,31.04245452037663,208.5360985754963,6.058824080431565,1006.2894240759832,100.62894240759833,30.58607099745915,65.35854545454545
4000,4000.0,2,3172.5534200668335,0.39533743903218604,634.3584060668945,0.08395652223370091,631.5871477127075,277.2485326788758,1.5942520208521584,280.155,285.347,286.12,221.114,276.8036729559749,1.4727388783506032,280.155,285.347,1.0,879.5860956926343,175.9172191385269,5.167456426087705,211.88998722433035,1.5942520208521482,672.2326187802225,134.4465237560445,5.141617746108803,65.35854545454545
5000,5000.0,2,3112.563967704773,6.055490606651211,778.0082821846008,1.471177894121267,772.4548578262329,285.5140881633291,1.4003466985652968,285.6385,288.929,289.096,275.17,285.4715512820513,1.474634930278303,285.6385,288.929,1.0,888.6851029824016,222.17127574560038,6.087596555188278,220.15554270878368,1.4003466985652668,685.2524494189888,171.3131123547472,5.691818497123898,65.35854545454545
6000,6000.0,2,3726.1037826538086,7.272523004251787,931.3701093196869,1.8287939037362029,921.5010404586792,284.6716327581784,0.6128145224336033,285.12800000000004,287.13,287.15,278.05,284.6821410930941,0.6029814551832842,285.12800000000004,287.13,1.0,1060.7182759883403,265.1795689970851,4.353691507996742,219.31308730363293,0.6128145224336335,817.1855525414076,204.2963881353519,3.878369982654258,65.35854545454545
8000,8000.0,2,3783.582091331482,3.1355569418164726,1261.028528213501,1.0243370062087684,1256.190299987793,290.5334203523701,0.9877866470764259,289.169,296.171,296.727,286.652,290.54292664146817,0.969485563299259,289.169,296.171,1.0,1099.25549754787,366.41849918262335,2.8263877849191905,225.1748748978247,0.9877866470764259,851.9660754505771,283.98869181685905,3.0313232258262524,65.35854545454545
10000,10000.0,2,4973.874449729919,4.172369415184465,1657.7366987864175,1.3609498363157488,1649.6686935424805,289.8032786854794,0.8184592084711799,287.119,299.62649999999996,300.304,282.475,289.8338623481782,0.8159038909526342,287.119,299.62649999999996,1.0,1441.4468307587501,480.4822769195834,5.280079681568178,224.44473323093405,0.8184592084711497,1116.361631450875,372.1205438169584,5.007379685492984,65.35854545454545
12000,12000.0,2,6022.664666175842,4.894260636479059,2007.3366959889731,1.5812373645330633,2001.455545425415,292.1778871957264,0.11144989866464168,290.30224999999996,301.736,302.097,285.528,292.22001,0.10577374637509003,290.30224999999996,301.736,1.0,1759.6897101840382,586.5632367280127,2.101220098887996,226.81934174118095,0.11144989866464168,1366.0571078422997,455.3523692807666,1.7813383426121636,65.35854545454545
15000,15000.0,2,7711.494207382202,3.064918823712214,2570.275743802388,1.028439299464097,2570.202350616455,297.1978171042132,0.12395087491040817,299.37699999999995,302.8835,303.9,289.199,297.21509431774916,0.12069140878454343,299.37699999999995,302.8835,1.0,2291.83905509609,763.9463516986966,0.04495926986308075,231.8392716496677,0.12395087491049861,1787.8270104204362,595.9423368068121,0.24527790611719055,65.35854545454545
18000,18000.0,2,9720.59690952301,21.034817742211036,3239.980975786845,6.988678028480687,3236.865520477295,294.19683224837615,1.490526466926483,298.9355,304.2633000000001,306.083,277.602,294.212280220157,1.4936268357774471,298.9355,304.2633000000001,1.0,2859.7844948213105,953.2614982737703,20.6771837146481,228.83828679383075,1.4905264669265033,2224.4604198649367,741.4868066216457,19.302378623116184,65.35854545454545
20000,20000.0,2,11014.509677886965,8.628640001938313,3671.1798508961992,2.9135273438606,3673.3944416046143,293.2612459401497,3.4278905388375285,297.24850000000004,301.8755,306.12,273.771,293.25399457413397,3.4253235761165146,297.24850000000004,301.8755,1.0,3230.1140425402546,1076.704680846752,35.22608779702564,227.90270048560427,3.4278905388375285,2510.221711098549,836.740570366183,35.790043156802966,65.35854545454545
