full_repeat,strategy,query_count,target_input_tokens,actual_input_tokens,batch_repeat,power_limit,actual_power_limit,avg_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_e2e_ms,avg_power_w,total_energy_j,peak_power_w,num_requests,group_median_ttft_ms,group_mad_ttft_ms,ttft_deviation_ratio,is_suspicious,suspicious_reason
1,baseline_350w,64,2175,2110,36,350,350.0,1242.7839783995296,1291.5122844278812,1422.6110502146184,1431.6375750023872,1271.819568653882,104.2327037037037,167.88131729669925,162.426,64,488.3317115964019,32.71614070763462,2.5449585781286923,True,ttft_outlier_vs_group
1,baseline_350w,103,6053,5956,28,350,350.0,1332.5873723805169,1494.776124600321,1883.9975411072369,1921.999024637044,1367.7883016542323,178.5880612244898,425.8078964278163,250.722,103,778.3905705301435,16.05233910620143,1.7119777947373167,True,ttft_outlier_vs_group
1,baseline_350w,103,6053,5966,37,350,350.0,1314.4407731942038,1287.476825993508,1781.641611130908,1809.7415171843024,1359.406179902189,197.64565,456.86853683909175,271.468,103,778.3905705301435,16.05233910620143,1.68866482066833,True,ttft_outlier_vs_group
1,baseline_350w,103,6053,5992,46,350,350.0,1286.5979543624862,1227.9025427997112,1766.6789307259023,1800.522425826639,1356.1795086744555,233.65896875,473.58961611506345,271.581,103,778.3905705301435,16.05233910620143,1.652895092866059,True,ttft_outlier_vs_group
1,prefill_token_fit,64,2175,2108,37,262,262.0,936.325275892159,930.7447161991148,1172.7292970521376,1181.7411137279123,962.8173977980624,122.98014285714284,179.37667207779202,169.707,64,486.41505072737345,32.213328060606756,1.924951282843737,True,ttft_outlier_vs_group
1,prefill_token_fit,103,6053,5971,10,285,285.0,1385.8738654130364,1554.9471089616418,2045.1352948788556,2066.6129636298865,1412.576448140684,160.18967924528303,395.53869704568615,270.245,103,784.6660972618073,15.363185788568103,1.7661956725914634,True,ttft_outlier_vs_group
1,prefill_token_fit,103,6053,5978,19,285,285.0,1415.0001825312677,1361.597982700914,1945.8741257432848,1991.8494566343725,1456.716806379156,173.9703829787234,416.4705059665112,280.515,103,784.6660972618073,15.363185788568103,1.8033150501456503,True,ttft_outlier_vs_group
1,prefill_token_fit,103,6053,5956,28,285,285.0,1468.7095755141554,1497.6347191259265,1916.9674489181489,1969.446068154648,1501.163083449621,188.11718181818185,438.7206218204498,265.251,103,784.6660972618073,15.363185788568103,1.8717637739662836,True,ttft_outlier_vs_group
1,prefill_token_fit,103,6053,5992,46,285,285.0,1407.4650632570165,1530.7907317765057,1850.7919631432744,1891.33236839436,1452.657356216274,183.09651162790695,414.92023058159407,264.022,103,784.6660972618073,15.363185788568103,1.7937120874325345,True,ttft_outlier_vs_group
1,prefill_token_fit_plus25w,64,2175,2124,18,287,287.0,1212.2138777340297,1415.8517320174724,1516.938372538425,1526.782460049726,1246.0555592551827,117.73033333333332,197.9399444477558,161.68,64,486.6963925160235,30.933770391129627,2.4906983005716854,True,ttft_outlier_vs_group
1,prefill_token_fit_plus25w,64,2175,2123,35,287,287.0,877.641499726451,894.4144111592323,1044.365169131197,1059.1272347187623,963.9930660123356,160.50313333333335,217.99131115446093,162.579,64,486.6963925160235,30.933770391129627,1.803262800427592,True,ttft_outlier_vs_group
1,prefill_token_fit_plus25w,103,6053,6034,9,310,310.0,1418.5065544635347,1377.6309452950954,1950.704164430499,1997.4609798565507,1455.3614864397107,171.38803636363636,411.7041702080206,283.526,103,782.6226821205425,15.167613181475417,1.8125037605861913,True,ttft_outlier_vs_group
