full_repeat,strategy,query_count,target_input_tokens,actual_input_tokens,batch_repeat,power_limit,actual_power_limit,avg_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_e2e_ms,avg_power_w,total_energy_j,peak_power_w,num_requests,group_median_ttft_ms,group_mad_ttft_ms,ttft_deviation_ratio,is_suspicious,suspicious_reason
1,baseline_350w,8,225,229,1,350,350.0,180.13770872494206,192.24030640907583,193.66675461642444,193.81728923879564,188.8470874400809,95.575,26.207026016712188,95.575,8,190.74744198587723,9.92544274777174,0.9443781098688563,False,
1,baseline_350w,8,225,223,2,350,350.0,178.14461002126336,186.44674960523844,197.24255001638085,200.2488235803321,183.83161950623617,131.93523076923077,35.3013459685399,132.817,8,190.74744198587723,9.92544274777174,0.933929221627271,False,
1,baseline_350w,8,225,227,3,350,350.0,184.30835788603872,193.75593308359385,200.29221146833152,202.05250540282577,190.9714135108516,115.44615384615383,31.89842752309946,128.996,8,190.74744198587723,9.92544274777174,0.9662428809906911,False,
1,baseline_350w,8,225,227,4,350,350.0,189.2389915883541,185.07636757567525,245.0096367392689,245.08779351599517,197.3243160173297,104.36184615384616,32.84069565758338,105.779,8,190.74744198587723,9.92544274777174,0.9920918971084561,False,
1,baseline_350w,8,225,220,5,350,350.0,206.3549539889209,241.21298897080123,248.2047484954819,248.37760988157245,209.5459126867354,115.67,36.94506149530411,115.67,8,190.74744198587723,9.92544274777174,1.0818229164205475,False,
1,baseline_350w,8,225,222,6,350,350.0,182.1452130097896,192.2985399141908,193.5233923839405,193.5946193197742,191.00861076731235,124.78,34.457995524406435,124.78,8,190.74744198587723,9.92544274777174,0.9549025198632831,False,
1,baseline_350w,8,225,223,7,350,350.0,188.26213263673708,196.81166601367292,231.67668781243265,231.68291735462844,192.1479458687827,114.56726666666668,35.19451286363602,115.747,8,190.74744198587723,9.92544274777174,0.9869706805854614,False,
1,baseline_350w,8,225,222,8,350,350.0,187.9044161178172,196.16482174023983,233.3451387938112,234.34462788514796,192.03932088566944,103.64353333333334,31.912604958550137,106.899,8,190.74744198587723,9.92544274777174,0.9850953394789402,False,
1,baseline_350w,8,225,227,9,350,350.0,161.75351449055597,181.04519275948405,182.4076267424971,182.46091750450432,168.51545142708346,112.38646153846152,29.561124023437497,114.494,8,190.74744198587723,9.92544274777174,0.8479983417158069,False,
1,baseline_350w,8,225,226,10,350,350.0,200.62120887450877,209.107908885926,241.56052686739716,241.7932869354263,204.76783328922463,114.503,36.7818731110096,114.503,8,190.74744198587723,9.92544274777174,1.0517635612086613,False,
1,baseline_350w,8,225,219,11,350,350.0,208.17344629904252,244.5646533742547,245.7366078859195,245.83189740311357,213.3788268547505,114.682,37.161192497730255,114.682,8,190.74744198587723,9.92544274777174,1.0913564246615455,False,
1,baseline_350w,8,225,227,12,350,350.0,173.07151487329975,183.41375910677016,184.5538532361388,184.56836249679327,181.9721616921015,122.73316666666666,32.63142973772685,123.758,8,190.74744198587723,9.92544274777174,0.907333346499681,False,
1,baseline_350w,8,225,224,13,350,350.0,199.73323174053803,234.32828951627016,241.39010759536177,241.56193294096735,202.4808411952108,107.71873333333332,33.67612661911647,111.46,8,190.74744198587723,9.92544274777174,1.0471083106599464,False,
1,baseline_350w,8,225,218,14,350,350.0,202.86824781214816,239.2599054146558,240.06755228620025,240.28802876826376,207.77556451503187,111.7292,35.52355441789627,113.004,8,190.74744198587723,9.92544274777174,1.063543739827286,False,
1,baseline_350w,8,225,230,15,350,350.0,202.5736364885233,238.32373297773304,241.26957636326551,242.28641372174025,207.5686507741921,125.229,40.047087121009824,125.229,8,190.74744198587723,9.92544274777174,1.0619992298692094,False,
1,baseline_350w,8,225,224,16,350,350.0,183.3734832471237,175.20729801617563,232.29985092766583,232.37951130606237,189.7232886403799,125.078,38.54896526241303,125.078,8,190.74744198587723,9.92544274777174,0.9613417686655032,False,
1,baseline_350w,8,225,226,17,350,350.0,194.9368703062646,203.5284829325974,239.0083415666595,239.16557629127053,199.16286651277915,116.8524,36.841749407672886,124.58,8,190.74744198587723,9.92544274777174,1.021963221507828,False,
1,baseline_350w,8,225,223,18,350,350.0,195.98395942011848,232.1667850483209,233.31571887247264,233.42411770485344,201.75089960685,106.16813333333332,33.24859372924169,106.498,8,190.74744198587723,9.92544274777174,1.027452622062575,False,
1,baseline_350w,8,225,226,19,350,350.0,190.37716754246503,173.7818333785981,242.8370772395283,243.17699004895985,194.8329655569978,124.348,39.494290026664736,124.348,8,190.74744198587723,9.92544274777174,0.9980588235440682,False,
1,baseline_350w,8,225,226,20,350,350.0,198.39381374185905,234.37876207754016,237.25589448586103,237.98968287184837,203.22187949204817,124.234,39.22870746660232,124.234,8,190.74744198587723,9.92544274777174,1.0400863659107311,False,
1,baseline_350w,8,225,224,21,350,350.0,174.42669300362468,185.3266372345388,186.12784440629184,186.29661521874368,181.2621266581118,122.72607692307692,32.97624860248199,124.3,8,190.74744198587723,9.92544274777174,0.9144379142790239,False,
1,baseline_350w,8,225,226,22,350,350.0,220.0676200445741,235.3316666558385,301.29414678085595,301.3305259356275,223.8724849303253,102.31185714285714,38.28991318423408,103.839,8,190.74744198587723,9.92544274777174,1.153712038040687,False,
1,baseline_350w,8,225,224,23,350,350.0,185.50734518794343,195.68311679176983,196.84801797848195,196.91091252025217,195.23972691968083,120.112,33.8847647781372,120.112,8,190.74744198587723,9.92544274777174,0.9725286130006305,False,
1,baseline_350w,8,225,219,24,350,350.0,199.8368778149597,235.82245549187064,237.71485111210492,237.99868148285896,205.22863161750135,123.947,39.17144638872146,123.947,8,190.74744198587723,9.92544274777174,1.047651678756224,False,
1,baseline_350w,8,225,221,25,350,350.0,200.6896074162796,237.1222721412778,237.70415051840249,237.770892335102,205.89728449704128,116.55866666666668,36.897953963597615,121.706,8,190.74744198587723,9.92544274777174,1.052122142907366,False,
1,baseline_350w,8,225,223,26,350,350.0,199.6894024196081,208.31098197959363,243.31520774867383,243.4604337392375,203.9907309226692,112.36846666666666,35.92060913554828,121.706,8,190.74744198587723,9.92544274777174,1.046878533943291,False,
1,baseline_350w,8,225,225,27,350,350.0,186.88627058872956,180.40670501068237,244.910400826484,245.35266729071736,191.01748848333955,109.36242857142858,34.50520435861179,111.453,8,190.74744198587723,9.92544274777174,0.9797576766589953,False,
1,baseline_350w,8,225,229,28,350,350.0,192.79687572270632,233.6275794077665,234.53059708699584,234.55199694260955,198.1612407253124,124.543,39.05226837515831,124.543,8,190.74744198587723,9.92544274777174,1.010744226583027,False,
1,baseline_350w,8,225,232,29,350,350.0,201.9950129906647,211.42160892486567,245.4579945188016,245.5706016626209,205.8446239680052,125.834,40.71490897512436,125.834,8,190.74744198587723,9.92544274777174,1.0589657763568867,False,
1,baseline_350w,8,225,226,30,350,350.0,180.83872192073613,163.77116460353136,233.9976543560624,234.88829400390387,184.18694654246792,122.58466666666666,37.305065326372784,130.695,8,190.74744198587723,9.92544274777174,0.9480531955659215,False,
1,baseline_350w,8,225,225,31,350,350.0,184.3788672122173,194.4627680350095,195.6056971335784,195.847055320628,193.7855425640009,107.16266666666668,29.968266777038576,107.562,8,190.74744198587723,9.92544274777174,0.9666125285489728,False,
1,baseline_350w,8,225,229,32,350,350.0,182.04899498960003,185.6534599792212,225.4199091112241,242.26439862977716,186.63840048247948,115.19293333333331,36.404947475274405,115.738,8,190.74744198587723,9.92544274777174,0.9543980935958175,False,
1,baseline_350w,8,225,219,33,350,350.0,204.03108152095228,240.34920264966783,241.00678144022825,241.00854268297556,208.75777414767072,117.35,37.51948124170303,117.35,8,190.74744198587723,9.92544274777174,1.0696399353867014,False,
1,baseline_350w,8,225,218,34,350,350.0,184.28724067052823,193.54388839565215,196.64251774083823,196.89269283320755,195.3048096038401,132.434,37.16143184280396,132.434,8,190.74744198587723,9.92544274777174,0.9661321732648592,False,
1,baseline_350w,8,225,225,35,350,350.0,202.28824130026624,187.06147489137948,255.61888387892395,255.72589684743437,204.89995571551844,109.2482,35.54197944941521,116.863,8,190.74744198587723,9.92544274777174,1.0605030358165615,False,
1,baseline_350w,8,225,223,36,350,350.0,200.28562290826807,234.67131913639605,242.7429277915508,243.56242121197283,202.7063026325777,105.6236,33.44668595647812,107.573,8,190.74744198587723,9.92544274777174,1.0500042402827978,False,
1,baseline_350w,8,225,226,37,350,350.0,207.5075841275975,243.35768492892385,246.64604486897588,247.676764074713,211.9447866571136,125.066,40.44411062192917,125.066,8,190.74744198587723,9.92544274777174,1.0878656194139746,False,
1,baseline_350w,8,225,219,38,350,350.0,194.83327376656237,203.53812142275277,238.54970675893128,238.6713156942278,199.2222301778384,126.279,39.89320303058624,126.279,8,190.74744198587723,9.92544274777174,1.0214201130990141,False,
1,baseline_350w,8,225,218,39,350,350.0,209.677973180078,244.82417409308252,249.0102368639782,249.17921459767967,213.60894688405097,122.8045625,40.14794497825205,130.283,8,190.74744198587723,9.92544274777174,1.0992439583834752,False,
1,baseline_350w,8,225,229,40,350,350.0,194.694185978733,203.12380720861256,216.37866226956248,219.97395483776927,202.8468555654399,106.92266666666669,31.19878737386068,107.208,8,190.74744198587723,9.92544274777174,1.0206909406058928,False,
1,baseline_350w,8,225,217,41,350,350.0,205.99966123700145,241.64103996008637,244.95824791956693,245.9434185037389,210.688604041934,117.162,37.81583397674561,117.162,8,190.74744198587723,9.92544274777174,1.0799602819955691,False,
1,baseline_350w,8,225,225,42,350,350.0,188.28709732042623,197.3241448868066,203.89859585557133,203.92961618024856,195.45477034989744,117.12,33.06414825439453,117.12,8,190.74744198587723,9.92544274777174,0.9871015587950418,False,
1,baseline_350w,8,225,221,43,350,350.0,202.50367640983316,238.0192494019866,243.8974839169532,245.92513353563845,206.77609520498663,116.81673333333332,37.281054410552976,117.142,8,190.74744198587723,9.92544274777174,1.061632461759704,False,
1,baseline_350w,8,225,220,44,350,350.0,202.8913638787344,239.13588770665228,240.42864996008572,240.67859857343137,207.92885159607977,107.70425,34.4911342189908,112.263,8,190.74744198587723,9.92544274777174,1.063664926598367,False,
1,baseline_350w,8,225,222,45,350,350.0,170.31794431386515,180.69485947489736,182.36654058564451,182.6536916056648,180.6166612659581,111.93453846153848,30.343243286371237,114.962,8,190.74744198587723,9.92544274777174,0.892897658499008,False,
1,baseline_350w,8,225,222,46,350,350.0,215.4176937183365,229.72906287759545,295.97033944446594,296.22595498804003,219.5032092276961,117.298,43.26119951248169,117.298,8,190.74744198587723,9.92544274777174,1.129334639959606,False,
1,baseline_350w,8,225,218,47,350,350.0,209.57363315392288,245.7307081203908,246.77334388252348,246.9381135655567,215.41102963965383,125.25353333333334,41.41589851096472,129.979,8,190.74744198587723,9.92544274777174,1.0986969522214591,False,
1,baseline_350w,8,225,216,48,350,350.0,179.56322262762114,162.9163660109043,232.29361241683364,233.04687721654773,183.51905955933037,117.75466666666668,35.80720512771607,129.979,8,190.74744198587723,9.92544274777174,0.9413663468206082,False,
1,baseline_350w,8,225,228,49,350,350.0,216.1791039980017,244.1639513708651,245.10244138073176,245.13864973094317,222.90934796910733,110.53625,36.20885588616133,112.787,8,190.74744198587723,9.92544274777174,1.1333263594381906,False,
1,baseline_350w,8,225,217,50,350,350.0,173.36082563269883,173.67599601857364,239.2042066436261,239.34666051529348,176.4344249968417,125.795,39.04538952589035,125.795,8,190.74744198587723,9.92544274777174,0.9088500680681962,False,
1,baseline_350w,16,504,490,1,350,350.0,240.18734830315225,266.73747040331364,273.8657558802515,275.0965115148574,257.05656156060286,134.748,55.14642498779296,134.748,16,250.45755339669995,13.860786537406966,0.958994228945131,False,
1,baseline_350w,16,504,488,2,350,350.0,254.29937211447395,279.09077797085047,284.23939645290375,284.27339121699333,268.785663851304,143.22088235294115,59.136068903909006,147.051,16,250.45755339669995,13.860786537406966,1.0153392008572764,False,
1,baseline_350w,16,504,504,3,350,350.0,254.5765155518893,277.0147752016783,293.2956628501415,297.25520461797714,269.3182303046342,112.27016666666668,46.19368371848265,138.912,16,250.45755339669995,13.860786537406966,1.0164457493867844,False,
1,baseline_350w,16,504,492,4,350,350.0,218.23851979570463,222.005381481722,244.24050701782107,248.3906208537519,236.0841140616685,142.33630769230768,51.648588700954726,144.596,16,250.45755339669995,13.860786537406966,0.8713593055428296,False,
1,baseline_350w,16,504,496,5,350,350.0,229.7093385423068,233.85153990238905,256.7909370409325,258.71758258435875,252.1231520804577,106.9605,41.64820065200329,129.908,16,250.45755339669995,13.860786537406966,0.9171587577495416,False,
1,baseline_350w,16,504,485,6,350,350.0,261.38444608659483,278.6942501552403,284.5571208745241,289.0197712928057,280.6427506438922,117.594,49.54657801008224,117.594,16,250.45755339669995,13.860786537406966,1.043627722708717,False,
1,baseline_350w,16,504,486,7,350,350.0,216.31045744288716,218.6738734599203,235.72888458147645,253.4354136325419,235.40821243659596,128.198,46.00360807514191,141.394,16,250.45755339669995,13.860786537406966,0.8636611454088303,False,
1,baseline_350w,16,504,493,8,350,350.0,219.0426595043391,227.6577663142234,230.736265424639,232.32050659134984,239.04047821997665,103.7578125,38.18176496587694,115.002,16,250.45755339669995,13.860786537406966,0.8745699881424508,False,
1,baseline_350w,16,504,498,9,350,350.0,251.30338402232155,276.12740569747984,279.3614136753604,280.42174426373094,266.5552005346399,124.626,50.695780825138094,124.626,16,250.45755339669995,13.860786537406966,1.0033771416120236,False,
1,baseline_350w,16,504,476,10,350,350.0,216.8790741998237,220.3944909851998,240.79719663131985,241.71513377223164,227.7371799282264,121.84863636363636,43.00308895338665,134.801,16,250.45755339669995,13.860786537406966,0.8659314572809418,False,
