strategy,label,query_count,energy_saving_pct,ttft_increase_pct
200/220/260W,8/225,8,4.915232678756798,2.3974287348287104
Token fit,8/225,8,5.587175401929345,3.147101149387721
200/220/260W,16/504,16,9.90189808691695,-0.4910733405273815
Token fit,16/504,16,6.689965609363613,-0.1657415484627167
200/220/260W,32/1581,32,7.731794197457575,3.7857659842549296
Token fit,32/1581,32,4.399981831589505,1.7020509866300992
200/220/260W,64/2175,64,12.249062066075243,3.102913633215421
Token fit,64/2175,64,4.107008265457345,-0.5683196976937865
200/220/260W,103/6053,103,6.9776304831426605,2.723786359629532
Token fit,103/6053,103,1.84312223138261,1.0466940858198104
200/220/260W,112/11106,112,7.9212801291429935,3.954768440952772
Token fit,112/11106,112,1.8143727721168343,0.6737339103129791
200/220/260W,119/20295,119,11.350176937129442,3.4708349451354703
Token fit,119/20295,119,2.399232741171897,0.8955003367309811
200/220/260W,GEOMEAN,1000000000,8.75225522104669,2.6966255239343706
Token fit,GEOMEAN,1000000000,3.8505993547409023,0.9552113974836018
