figure,strategy,output_length,query_label,query_count,energy_saving_pct,energy_saving_std,tbt_increase_pct,tbt_increase_std,ttft_increase_pct,ttft_increase_std,e2e_increase_pct,e2e_increase_std
pure_ff_out100,ff_decode_tbt_guarded,100,8,8.0,8.65013791528569,0.31621423068628474,3.953025739226564,0.1292564944910404,0.8355560089643888,4.837676143310654,3.85757942661206,0.1828509104606612
pure_ff_out100,ff_decode_tbt_guarded,100,16,16.0,9.615905767122875,0.1858928766994175,4.107147810988036,0.08249825438706622,4.876929619731255,5.862822769072741,4.131924535011351,0.23068964287058777
pure_ff_out100,ff_decode_tbt_guarded,100,32,32.0,11.778759615116167,0.15798037511436008,4.694541309925482,0.11040053733281799,3.503750267535244,1.6505470752831817,4.625182024052813,0.05272112629444745
pure_ff_out100,ff_decode_tbt_guarded,100,64,64.0,8.612860902852667,0.06896035317906919,3.663590196523551,0.00551048412425071,6.421044312004438,1.9409807624769007,3.86546504793912,0.14018422270418573
pure_ff_out100,ff_decode_tbt_guarded,100,96,96.0,11.696521153730325,0.2972814239748585,4.011951773154824,0.058066328116729946,5.563371850067064,0.3321457199624208,4.512322366329036,0.1263481645892221
pure_ff_out100,ff_decode_tbt_guarded,100,128,128.0,13.39902579628468,0.3741194049054827,4.254807134952935,0.06286195163853331,5.65461766475448,0.1607808731714682,4.83251326930166,0.09613639428213719
pure_ff_out100,ff_decode_tbt_guarded,100,GEOMEAN,,10.643573765281293,,4.113688634040091,,4.42550087691657,,4.303416270679938,
pure_ff_out200,ff_decode_tbt_guarded,200,8,8.0,10.913689842520292,0.0759471904988764,4.155669538031777,0.10814190339137132,5.093942676651094,1.4350302941795292,4.168757471339972,0.11590838047381109
pure_ff_out200,ff_decode_tbt_guarded,200,16,16.0,11.602062602616877,0.13771380546262973,4.237737459485317,0.06775710397104728,2.7807677633174372,0.799027673518529,4.210715409989607,0.05532016592090287
pure_ff_out200,ff_decode_tbt_guarded,200,32,32.0,13.932528924664199,0.0972708509705976,4.813194485703787,0.04421966615604241,3.8766101388981067,2.1979232283471255,4.784697115578866,0.05839327539160112
pure_ff_out200,ff_decode_tbt_guarded,200,64,64.0,10.693734335981935,0.13648522257862608,3.653108026829891,0.04535936967166796,3.2106132313208433,2.6268025717101713,3.636314412258764,0.053534415780165864
pure_ff_out200,ff_decode_tbt_guarded,200,96,96.0,11.623603117878238,0.022388264161019862,3.720403944823854,0.02475684813183261,4.924165136929918,0.2633449455565821,4.068900821416103,0.09020808938443595
pure_ff_out200,ff_decode_tbt_guarded,200,128,128.0,12.534128022585406,0.04625914774060722,3.7295495166793944,0.011305693173803638,4.833440756868261,0.06987805505862696,4.1463578937592045,0.020785660010540087
pure_ff_out200,ff_decode_tbt_guarded,200,GEOMEAN,,11.890097093059163,,4.05080545118901,,4.1099071936845215,,4.168734361079822,
ff_pid_out100,ff_decode_tbt_guarded_pid,100,8,8.0,8.65800270299525,0.4171758774260176,3.900461418523582,0.009628622593364715,-1.410990855665876,4.201216899197581,3.7433664883221938,0.11738356553342223
ff_pid_out100,ff_decode_tbt_guarded_pid,100,16,16.0,9.49317743659851,0.1523075231705862,4.073844661102122,0.05584106178528023,5.42823511275039,2.705967193723953,4.12068547206547,0.053184517932329575
ff_pid_out100,ff_decode_tbt_guarded_pid,100,32,32.0,10.662341159442834,0.2258523396772805,4.453192756567599,0.04492154934566763,6.217427855298189,2.2821845204244537,4.553191840067261,0.0868677867999085
ff_pid_out100,ff_decode_tbt_guarded_pid,100,64,64.0,8.689947253054068,0.5405156878935432,3.5505304029360176,0.05355275712555683,4.284644479624837,4.759613530175235,3.5963881133568,0.29999203368162763
ff_pid_out100,ff_decode_tbt_guarded_pid,100,96,96.0,11.2079431155052,0.2044541446330236,3.970802437403146,0.12435533538359675,4.298609945632951,0.405629621510789,4.0767684168424205,0.2103433289204274
ff_pid_out100,ff_decode_tbt_guarded_pid,100,128,128.0,13.2205944877764,0.12309821801721936,4.163806458261991,0.00992605453190951,5.128399793055238,0.10869203030451727,4.562101041614912,0.05055690873611437
ff_pid_out100,ff_decode_tbt_guarded_pid,100,GEOMEAN,,10.336781446520705,,4.018403687864769,,3.9389717224191636,,4.108047170508722,
ff_pid_out200,ff_decode_tbt_guarded_pid,200,8,8.0,10.575804599013184,0.18388760036659302,4.044376695052894,0.07357222332207683,4.060381648716956,7.806856240439675,4.0421130456134895,0.09442498108674144
ff_pid_out200,ff_decode_tbt_guarded_pid,200,16,16.0,11.45399158342743,0.11144073423305394,4.0994471445560565,0.050991384954431264,5.180662928626009,1.2329336660846382,4.119175572028011,0.03630286627750502
ff_pid_out200,ff_decode_tbt_guarded_pid,200,32,32.0,13.439467367710437,0.1230619932875342,4.6621132413696476,0.09000419342026052,4.851401388806857,1.9219204821606874,4.667471226753994,0.03110899029908453
ff_pid_out200,ff_decode_tbt_guarded_pid,200,64,64.0,10.578865287816157,0.07077119629650455,3.6583170414452435,0.041672674537939415,4.259101186677938,1.259548583963685,3.679688374056641,0.02111745537942065
ff_pid_out200,ff_decode_tbt_guarded_pid,200,96,96.0,11.054367851190028,0.04655387773989391,3.7742231289437917,0.07997494816664297,4.4653061807678,0.5540513469129332,3.974402649552674,0.17830579653124665
ff_pid_out200,ff_decode_tbt_guarded_pid,200,128,128.0,11.474384978118254,0.12709020601499724,3.4044261529667224,0.026003620280840786,4.411801357079541,0.22572347494303174,3.7851634429148184,0.09149217891423407
ff_pid_out200,ff_decode_tbt_guarded_pid,200,GEOMEAN,,11.434851378514702,,3.939711632679684,,4.505454584906558,,4.044167550333144,
