timestamp,power_w,memory_gb,temperature_c
1773186543.2208273,86.18,14.056640625,57
1773186543.4829905,86.74,14.056640625,58
1773186543.7440448,86.74,14.056640625,59
1773186544.0056536,86.74,14.056640625,60
1773186544.2661242,86.74,14.056640625,59
1773186544.5281956,86.74,14.056640625,59
1773186544.790993,86.74,14.056640625,60
1773186545.051757,86.74,14.056640625,60
1773186545.312008,86.74,14.056640625,59
1773186545.572816,86.74,14.056640625,60
1773186545.8333392,86.74,14.056640625,60
1773186546.0876307,86.74,14.056640625,60
1773186546.3394642,86.74,14.056640625,60
1773186546.5964034,86.74,14.056640625,60
1773186546.8563182,86.74,14.056640625,60
1773186547.1131825,86.74,14.056640625,60
1773186547.3704767,86.74,14.056640625,60
1773186547.6287847,86.74,14.056640625,60
1773186547.8889377,86.74,14.056640625,60
1773186548.1494627,86.74,14.056640625,60
1773186548.408423,86.74,14.056640625,60
1773186548.667965,86.74,14.056640625,60
1773186548.9248343,86.74,14.056640625,60
1773186549.177365,86.74,14.056640625,60
1773186549.435292,199.43,14.056640625,60
1773186549.7006917,199.43,14.056640625,60
1773186549.9562802,199.43,14.056640625,60
1773186550.2074695,199.43,14.056640625,61
1773186550.4680984,199.43,14.056640625,61
1773186550.7294147,199.43,14.056640625,60
1773186550.9907625,199.43,14.056640625,60
1773186551.2504616,199.43,14.056640625,60
1773186551.5116768,199.43,14.056640625,61
1773186551.7716937,199.43,14.056640625,61
1773186552.034922,199.43,14.056640625,61
1773186552.2955806,199.43,14.056640625,61
1773186552.5546885,199.43,14.056640625,61
1773186552.8160207,199.43,14.056640625,61
1773186553.0760636,199.43,14.056640625,61
1773186553.3407328,199.43,14.056640625,61
1773186553.6014185,199.43,14.056640625,61
1773186553.863039,199.43,14.056640625,61
1773186554.1233618,199.43,14.056640625,61
1773186554.3838787,199.43,14.056640625,61
1773186554.6442184,199.43,14.056640625,61
1773186554.9058852,199.43,14.056640625,61
1773186555.1657257,199.43,14.056640625,61
1773186555.4268074,199.43,14.056640625,61
1773186555.6877704,199.43,14.056640625,61
1773186555.94881,199.55,14.056640625,61
1773186556.2090132,199.55,14.056640625,61
1773186556.4717095,199.55,14.056640625,61
1773186556.7322576,199.55,14.056640625,61
1773186556.9857671,199.55,14.056640625,61
1773186557.2450936,199.55,14.056640625,61
1773186557.5063598,199.55,14.056640625,61
1773186557.766914,199.55,14.056640625,61
1773186558.0279634,199.55,14.056640625,61
1773186558.2888687,199.55,14.056640625,61
1773186558.549766,199.55,14.056640625,61
1773186558.8110905,199.55,14.056640625,61
1773186559.0706048,199.55,14.056640625,61
1773186559.3310664,199.55,14.056640625,62
1773186559.5923245,199.55,14.056640625,61
1773186559.8462903,199.55,14.056640625,61
1773186560.1077492,199.55,14.056640625,62
1773186560.3670034,199.55,14.056640625,62
1773186560.6307979,199.55,14.056640625,61
1773186560.8932276,199.55,14.056640625,62
1773186561.1547198,200.1,14.056640625,62
1773186561.4176953,199.65,14.056640625,62
1773186561.680597,199.65,14.056640625,62
1773186561.9439049,199.68,14.056640625,62
1773186562.2072077,199.91,14.056640625,62
1773186562.4629455,199.66,14.056640625,62
1773186562.7191434,199.56,14.056640625,62
1773186562.9818902,199.6,14.056640625,62
1773186563.2452414,199.92,14.056640625,62
1773186563.4999964,199.56,14.056640625,62
1773186563.7621746,199.65,14.056640625,62
1773186564.0168538,199.06,14.056640625,62
1773186564.2852848,199.43,14.056640625,62
1773186564.5488188,199.66,14.056640625,62
1773186564.8124459,199.63,14.056640625,62
1773186565.0753517,200.04,14.056640625,62
1773186565.337876,199.85,14.056640625,62
1773186565.5929685,199.65,14.056640625,62
1773186565.849282,199.56,14.056640625,62
1773186566.113464,200.15,14.056640625,62
1773186566.3705344,199.71,14.056640625,62
1773186566.628215,199.64,14.056640625,62
1773186566.8879225,199.55,14.056640625,62
1773186567.1537251,199.81,14.056640625,62
1773186567.4173677,199.57,14.056640625,62
1773186567.6752856,199.58,14.056640625,62
1773186567.9395053,199.7,14.056640625,62
1773186568.4960933,199.69,14.056640625,62
1773186568.7577336,199.73,14.056640625,62
1773186569.023201,200.01,14.056640625,62
1773186569.286713,199.65,14.056640625,62
1773186569.549906,199.65,14.056640625,62
1773186569.812711,199.67,14.056640625,62
1773186570.075904,199.73,14.056640625,62
1773186570.3439147,199.64,14.056640625,62
1773186570.6075206,199.65,14.056640625,62
1773186570.8717952,199.94,14.056640625,62
1773186571.12731,199.73,14.056640625,62
1773186571.3906329,199.69,14.056640625,62
1773186571.641129,199.68,14.056640625,62
1773186571.904218,199.78,14.056640625,62
1773186572.1657562,199.76,14.056640625,62
1773186572.4284344,199.58,14.056640625,62
1773186572.6906586,199.65,14.056640625,62
1773186572.952644,199.82,14.056640625,62
1773186573.215125,199.7,14.056640625,62
1773186573.4771016,199.72,14.056640625,62
1773186573.7409549,199.69,14.056640625,62
1773186573.997112,199.96,14.056640625,63
1773186574.2610414,199.61,14.056640625,62
1773186574.5256565,199.66,14.056640625,63
1773186574.7893348,199.72,14.056640625,63
1773186575.0530837,199.7,14.056640625,63
1773186575.3047354,199.73,14.056640625,63
1773186575.5664334,199.66,14.056640625,63
1773186575.8286498,199.7,14.056640625,63
1773186576.089941,199.67,14.056640625,63
1773186576.3527825,199.65,14.056640625,63
1773186576.6159327,199.62,14.056640625,63
1773186576.8789656,199.71,14.056640625,63
1773186577.1336312,199.51,14.056640625,63
1773186577.3951588,199.57,14.056640625,63
1773186577.6612,199.71,14.056640625,63
1773186577.9231951,199.68,14.056640625,60
