experiment_id,power_cap_w,actual_power_cap_w,load_type,request_count,concurrency,max_tokens,total_time_s,total_energy_j,total_tokens,throughput_tps,avg_ttft_ms,avg_tbt_ms,avg_e2e_ms,edp
150W_mixed_32c_1773191621,150,150.0,mixed,50,32,100,392.08439588546753,58531.93471082571,5000,12.752356514235162,83.06829452514648,77.53049171332157,7758.586974143982,454125106.2188584
150W_mixed_64c_1773192188,150,150.0,mixed,50,64,100,392.438579082489,58721.11938407303,5000,12.740847272686256,83.14909934997559,77.60039931595928,7765.588631629944,456004057.1255422
150W_mixed_8c_1773191055,150,200.0,mixed,50,8,100,392.8146412372589,58494.86422092919,5000,12.728649788234382,83.10502052307129,77.6772345436944,7773.151240348816,454689426.37295127
200W_mixed_8c_1773188930,200,200.0,mixed,50,8,100,348.46619176864624,69065.56210041877,5000,14.348594262824788,74.0138292312622,68.9016891729952,6895.281057357788,476226462.0667855
200W_mixed_64c_1773189969,200,200.0,mixed,50,64,100,348.74113178253174,68870.2777079142,5000,14.337282139457823,74.2274808883667,68.95281993981564,6900.556654930115,475243253.1642324
200W_mixed_128c_1773190488,200,200.0,mixed,50,128,100,348.68401074409485,69529.39738095526,5000,14.339630857549087,74.29787635803223,68.93980772808345,6899.3388414382935,479706871.97222257
200W_mixed_32c_1773189450,200,200.0,mixed,50,32,100,348.8243691921234,69400.23927630667,5000,14.333860938615013,74.6299695968628,68.96151711242368,6901.820163726807,478987970.8046785
