strategy,concurrency,output_length,power_limit,avg_ttft_ms,avg_tbt_ms,avg_e2e_ms,avg_energy_j,avg_power_w
scheme2_fit_plus,8,96,230.0,217.28894847500518,68.00965971463995,6678.206621365801,1521.8724295609093,224.32029543111295
scheme2_fit_plus,8,128,230.0,216.35419495168586,68.00865415141699,8853.453272181645,2018.1757622316227,225.18650635845702
scheme2_fit_plus,16,8,150.0,257.96838009004205,79.70719205730781,815.9187244911967,133.0253378708392,139.87337907274443
scheme2_fit_plus,16,16,170.0,237.90767599956325,74.3247122368923,1352.7783595529474,237.27627737153725,159.6594267806902
scheme2_fit_plus,16,32,200.0,232.81972044665812,70.74772438967683,2425.9991765266404,489.6238530780129,191.08313586035095
scheme2_fit_plus,16,64,220.0,234.8538870025201,69.1198804961036,4589.406358257047,1013.9886553344467,214.7793725548254
scheme2_fit_plus,16,96,230.0,220.34441808708684,68.41197074975003,6719.48163931334,1544.9387960599158,225.34503917131826
scheme2_fit_plus,16,128,230.0,228.27109742580583,68.37233871946869,8911.55811479833,2047.6567621928843,226.54564749596543
scheme3_kv_guided,8,8,190.0,227.22622534832908,70.92377675404491,723.6926626266435,144.16114549585953,174.72311855748885
scheme3_kv_guided,8,16,190.0,221.57690240915448,71.04378143438963,1287.233623924999,249.86129174981193,179.33369330175665
scheme3_kv_guided,8,32,190.0,221.4518043599719,70.86256591440814,2418.191347706624,464.9705248115393,184.2929082017752
scheme3_kv_guided,8,64,205.0,220.10742312582957,69.5880890760715,4604.157034918334,948.214999944334,201.30462650749493
scheme3_kv_guided,8,96,205.0,222.87610598249861,69.53760769805245,6828.948837297482,1404.025666086609,202.40667013377342
scheme3_kv_guided,8,128,210.0,220.14699863997748,69.17245212970472,9005.048419112476,1893.339697059746,207.77678634610768
scheme3_kv_guided,16,8,190.0,244.73421484289096,73.36546415887217,758.2924639549962,150.25661219880644,169.2782833003474
scheme3_kv_guided,16,16,190.0,242.1541319524628,72.10131727172039,1323.6738910282686,257.0475614390068,177.7179359618301
scheme3_kv_guided,16,32,190.0,250.023842547915,71.53395932025443,2467.576581475802,472.4604145794786,182.3338277973838
scheme3_kv_guided,16,64,205.0,244.87782521789237,70.12194490490815,4662.560354227106,957.9581645829531,200.11770834903155
scheme3_kv_guided,16,96,205.0,225.47638405334814,70.04473510034651,6879.726218586267,1413.7460265536968,201.77076771478394
scheme3_kv_guided,16,128,210.0,231.19284768289162,69.65149900434696,9076.933221234955,1908.474776021315,207.4021511471884
