timestamp,power_w,memory_gb,temperature_c
1773185620.1605282,82.01,14.056640625,51
1773185620.4225206,91.43,14.056640625,55
1773185620.6830914,91.43,14.056640625,56
1773185620.9447374,91.43,14.056640625,56
1773185621.2067845,91.43,14.056640625,56
1773185621.469974,91.43,14.056640625,56
1773185621.7310119,91.43,14.056640625,56
1773185621.9909966,91.43,14.056640625,56
1773185622.2545288,91.43,14.056640625,56
1773185622.515652,91.43,14.056640625,57
1773185622.7763183,91.43,14.056640625,57
1773185623.0372872,91.43,14.056640625,57
1773185623.2983088,91.43,14.056640625,57
1773185623.5470579,91.43,14.056640625,57
1773185623.8083415,91.43,14.056640625,57
1773185624.0707848,91.43,14.056640625,57
1773185624.3331687,91.43,14.056640625,57
1773185624.5966587,91.43,14.056640625,57
1773185624.8579183,91.43,14.056640625,57
1773185625.1205726,91.43,14.056640625,57
1773185625.3820636,222.78,14.056640625,57
1773185625.6428142,222.78,14.056640625,58
1773185625.906367,222.78,14.056640625,58
1773185626.1670265,222.78,14.056640625,58
1773185626.4276626,222.78,14.056640625,58
1773185626.6914287,222.78,14.056640625,58
1773185626.9530315,222.78,14.056640625,57
1773185627.2194743,222.78,14.056640625,58
1773185627.4810162,222.78,14.056640625,58
1773185627.7421598,222.78,14.056640625,58
1773185628.002947,222.78,14.056640625,58
1773185628.2644198,222.78,14.056640625,58
1773185628.5156963,222.78,14.056640625,58
1773185628.7768848,222.78,14.056640625,58
1773185629.039038,222.78,14.056640625,58
1773185629.2991426,222.78,14.056640625,58
1773185629.562277,222.78,14.056640625,58
1773185629.8264098,222.78,14.056640625,59
1773185630.0816605,222.78,14.056640625,59
1773185630.345252,222.78,14.056640625,59
1773185630.6067924,222.78,14.056640625,59
1773185630.8726337,222.78,14.056640625,59
1773185631.1346738,222.78,14.056640625,59
1773185631.3962543,224.1,14.056640625,59
1773185631.6568277,224.1,14.056640625,59
1773185631.9176354,224.1,14.056640625,59
1773185632.179238,224.1,14.056640625,59
1773185632.4402428,224.1,14.056640625,59
1773185632.699722,224.1,14.056640625,59
1773185632.961862,224.1,14.056640625,59
1773185633.223716,224.1,14.056640625,59
1773185633.4876513,224.1,14.056640625,59
1773185633.746569,224.1,14.056640625,59
1773185634.007988,224.1,14.056640625,59
1773185634.2690184,224.1,14.056640625,60
1773185634.532913,224.1,14.056640625,60
1773185634.7980518,224.1,14.056640625,60
1773185635.0602403,224.1,14.056640625,60
1773185635.321123,224.1,14.056640625,60
1773185635.5835557,224.1,14.056640625,60
1773185635.8379946,224.1,14.056640625,60
1773185636.1001997,224.1,14.056640625,60
1773185636.3621287,224.1,14.056640625,60
1773185636.6177318,224.1,14.056640625,60
1773185636.880271,225.02,14.056640625,60
1773185637.1429677,225.02,14.056640625,60
1773185637.404607,225.02,14.056640625,60
1773185637.665168,225.02,14.056640625,60
1773185637.925099,225.02,14.056640625,60
1773185638.1848714,225.02,14.056640625,60
1773185638.444138,225.02,14.056640625,60
1773185638.7060313,225.02,14.056640625,60
1773185638.9652603,225.02,14.056640625,60
1773185639.2182875,225.02,14.056640625,60
1773185639.4808033,225.02,14.056640625,61
1773185639.7424653,225.02,14.056640625,61
1773185640.0037057,225.02,14.056640625,61
1773185640.2643611,225.02,14.056640625,61
