timestamp,power_w,memory_gb,temperature_c
1773157343.9975665,81.59,14.056640625,57
1773157344.2569559,81.59,14.056640625,61
1773157344.5075772,81.59,14.056640625,61
1773157344.7676904,81.59,14.056640625,61
1773157345.0282912,81.59,14.056640625,61
1773157345.2869918,81.59,14.056640625,62
1773157345.5493095,81.59,14.056640625,62
1773157345.8098292,81.59,14.056640625,62
1773157346.071159,81.59,14.056640625,62
1773157346.3308942,227.64,14.056640625,62
1773157346.592346,227.64,14.056640625,62
1773157346.8546443,227.64,14.056640625,62
1773157347.1150055,227.64,14.056640625,62
1773157347.3782837,227.64,14.056640625,62
1773157347.6400204,227.64,14.056640625,62
1773157347.8978748,227.64,14.056640625,62
1773157348.1493986,227.64,14.056640625,62
1773157348.4114492,227.64,14.056640625,62
1773157348.6718473,227.64,14.056640625,62
1773157348.9334316,227.64,14.056640625,62
1773157349.1946204,227.64,14.056640625,63
1773157349.4563386,227.64,14.056640625,63
1773157349.7179577,227.64,14.056640625,63
1773157349.9792926,227.64,14.056640625,63
1773157350.241223,227.64,14.056640625,63
1773157350.5057151,227.64,14.056640625,63
1773157350.7681534,227.64,14.056640625,62
1773157351.0295293,227.64,14.056640625,63
1773157351.2903955,227.64,14.056640625,63
1773157351.5518818,227.64,14.056640625,63
1773157351.8032773,227.64,14.056640625,63
1773157352.0642083,227.64,14.056640625,63
1773157352.3249142,228.11,14.056640625,63
1773157352.5860562,228.11,14.056640625,63
1773157352.8479233,228.11,14.056640625,63
1773157353.1099627,228.11,14.056640625,63
1773157353.3714294,228.11,14.056640625,63
1773157353.6329372,228.11,14.056640625,63
1773157353.893665,228.11,14.056640625,63
1773157354.1593106,228.11,14.056640625,63
1773157354.4203231,228.11,14.056640625,63
1773157354.6818953,228.11,14.056640625,63
1773157354.9423034,228.11,14.056640625,63
1773157355.2031815,228.11,14.056640625,63
1773157355.4536695,228.11,14.056640625,63
1773157355.7149491,228.11,14.056640625,64
1773157355.97765,228.11,14.056640625,64
1773157356.2384415,228.11,14.056640625,64
1773157356.502609,228.11,14.056640625,64
1773157356.7647347,228.11,14.056640625,64
1773157357.0259986,228.11,14.056640625,64
1773157357.287742,228.11,14.056640625,64
1773157357.541667,228.11,14.056640625,64
1773157357.808998,228.11,14.056640625,64
1773157358.0729043,228.11,14.056640625,64
1773157358.3343103,227.83,14.056640625,64
1773157358.5956774,227.83,14.056640625,64
1773157358.8581316,227.83,14.056640625,64
1773157359.109646,227.83,14.056640625,64
1773157359.3711731,227.83,14.056640625,64
1773157359.6320274,227.83,14.056640625,64
1773157359.8936503,227.83,14.056640625,64
1773157360.1583571,227.83,14.056640625,64
1773157360.4213872,227.83,14.056640625,64
1773157360.6843996,227.83,14.056640625,64
1773157360.9460468,227.83,14.056640625,64
1773157361.209259,227.83,14.056640625,64
1773157361.4787173,227.83,14.056640625,64
1773157361.7394578,227.83,14.056640625,64
1773157362.002308,227.83,14.056640625,64
1773157362.26475,227.83,14.056640625,64
1773157362.5272384,227.83,14.056640625,64
1773157362.7882082,227.83,14.056640625,64
1773157363.0469317,227.83,14.056640625,64
1773157363.3080287,227.83,14.056640625,64
1773157363.5691411,227.83,14.056640625,64
1773157363.8311949,229.47,14.056640625,64
1773157364.092954,229.47,14.056640625,65
1773157364.3539586,229.47,14.056640625,65
1773157364.6160588,229.47,14.056640625,65
1773157364.8769946,229.47,14.056640625,65
1773157365.1428106,229.47,14.056640625,65
1773157365.4050117,229.47,14.056640625,65
1773157365.666811,229.47,14.056640625,65
1773157365.9284055,229.47,14.056640625,65
1773157366.1896071,229.47,14.056640625,65
1773157366.4503353,229.47,14.056640625,65
1773157366.7116506,229.47,14.056640625,65
1773157366.9710608,229.47,14.056640625,65
1773157367.2318983,229.47,14.056640625,65
1773157367.4932072,229.47,14.056640625,65
1773157367.7480233,229.47,14.056640625,65
1773157368.0109694,229.47,14.056640625,65
1773157368.2729998,229.47,14.056640625,65
1773157368.5351255,229.47,14.056640625,65
1773157368.8031192,229.47,14.056640625,65
1773157369.0638494,229.47,14.056640625,65
1773157369.3244019,230.25,14.056640625,65
1773157369.5862095,230.25,14.056640625,65
1773157369.846634,230.25,14.056640625,65
1773157370.1071763,230.25,14.056640625,65
1773157370.3612764,230.25,14.056640625,65
1773157370.6216533,230.25,14.056640625,65
1773157370.883398,230.25,14.056640625,65
1773157371.146586,230.25,14.056640625,65
1773157371.407156,230.25,14.056640625,65
1773157371.6679585,230.25,14.056640625,65
1773157371.9290307,230.25,14.056640625,65
1773157372.183033,230.25,14.056640625,65
1773157372.447459,230.25,14.056640625,65
1773157372.710213,230.25,14.056640625,65
1773157372.972882,230.25,14.056640625,65
1773157373.2336855,230.25,14.056640625,65
1773157373.4958622,230.25,14.056640625,66
1773157373.7504728,230.25,14.056640625,65
1773157374.0119781,230.25,14.056640625,65
1773157374.2737353,230.25,14.056640625,65
1773157374.5380907,230.25,14.056640625,65
1773157374.7914429,230.25,14.056640625,65
1773157375.0528004,230.25,14.056640625,66
1773157375.312986,230.25,14.056640625,66
1773157375.567901,230.25,14.056640625,66
1773157375.8291054,230.43,14.056640625,66
1773157376.096499,230.43,14.056640625,66
1773157376.3579524,230.43,14.056640625,66
1773157376.6188948,230.43,14.056640625,66
1773157376.8808544,230.43,14.056640625,66
1773157377.1422858,230.43,14.056640625,66
1773157377.4027965,230.43,14.056640625,66
1773157377.6656418,230.43,14.056640625,65
1773157377.9275067,230.43,14.056640625,66
1773157378.1900454,230.43,14.056640625,66
1773157378.4622025,230.43,14.056640625,66
1773157378.7232304,230.43,14.056640625,66
1773157378.9846463,230.43,14.056640625,66
1773157379.2471104,230.43,14.056640625,66
1773157379.5090282,230.43,14.056640625,66
1773157379.7687867,230.43,14.056640625,66
1773157380.030423,230.43,14.056640625,66
1773157380.2899876,230.43,14.056640625,66
1773157380.5507398,230.43,14.056640625,66
1773157380.8129146,230.62,14.056640625,66
1773157381.0953984,230.62,14.056640625,66
1773157381.3570514,230.62,14.056640625,66
1773157381.6185126,230.62,14.056640625,66
1773157381.8803012,230.62,14.056640625,66
1773157382.1421416,230.62,14.056640625,66
1773157382.402043,230.62,14.056640625,66
1773157382.6634285,230.62,14.056640625,66
1773157382.9270945,230.62,14.056640625,66
1773157383.1877704,230.62,14.056640625,66
1773157383.4482012,230.62,14.056640625,66
1773157383.709319,230.62,14.056640625,66
1773157383.9704616,230.62,14.056640625,66
1773157384.232119,230.62,14.056640625,66
1773157384.4929478,230.62,14.056640625,66
1773157384.7544477,230.62,14.056640625,66
1773157385.015314,230.62,14.056640625,66
1773157385.2774,230.62,14.056640625,66
1773157385.5379202,230.62,14.056640625,66
1773157385.8009164,230.62,14.056640625,66
1773157386.067228,230.62,14.056640625,66
1773157386.3298006,230.96,14.056640625,66
1773157386.5921972,230.96,14.056640625,66
1773157386.8519485,230.96,14.056640625,66
1773157387.1022,230.96,14.056640625,66
1773157387.3625386,230.96,14.056640625,66
1773157387.6251743,230.96,14.056640625,66
1773157387.8864367,230.96,14.056640625,66
1773157388.1516254,230.96,14.056640625,66
1773157388.413993,230.96,14.056640625,66
1773157388.6757832,230.96,14.056640625,66
1773157388.936929,230.96,14.056640625,66
1773157389.1979926,230.96,14.056640625,66
1773157389.451255,230.96,14.056640625,66
1773157389.7119546,230.96,14.056640625,66
1773157389.9732943,230.96,14.056640625,66
1773157390.2348392,230.96,14.056640625,67
1773157390.4949794,230.96,14.056640625,67
1773157390.7556906,230.96,14.056640625,66
1773157391.018446,230.96,14.056640625,66
1773157391.2825513,230.96,14.056640625,66
1773157391.5460784,230.96,14.056640625,67
1773157391.8081095,230.96,14.056640625,67
1773157392.0688279,230.96,14.056640625,67
1773157392.3297684,230.94,14.056640625,67
1773157392.589799,230.94,14.056640625,67
1773157392.8527157,230.94,14.056640625,67
1773157393.1014261,230.94,14.056640625,67
1773157393.3622258,230.94,14.056640625,67
1773157393.623007,230.94,14.056640625,67
1773157393.8846421,230.94,14.056640625,67
1773157394.138804,230.94,14.056640625,67
1773157394.403054,230.94,14.056640625,67
1773157394.664264,230.94,14.056640625,67
1773157394.924807,230.94,14.056640625,67
1773157395.1867442,230.94,14.056640625,67
1773157395.448806,230.94,14.056640625,67
1773157395.7098925,230.94,14.056640625,67
1773157395.9708228,230.94,14.056640625,67
1773157396.2323694,230.94,14.056640625,67
1773157396.4942153,230.94,14.056640625,67
1773157396.7568102,230.94,14.056640625,67
1773157397.0208526,230.94,14.056640625,67
1773157397.2824323,230.94,14.056640625,67
1773157397.5450199,230.94,14.056640625,67
1773157397.8071575,230.94,14.056640625,67
1773157398.0582278,230.94,14.056640625,67
1773157398.3192437,230.94,14.056640625,67
1773157398.5822065,230.94,14.056640625,67
1773157398.8442895,230.1,14.056640625,67
1773157399.105939,230.1,14.056640625,67
1773157399.368814,230.1,14.056640625,67
1773157399.6304014,230.1,14.056640625,67
